operator,run,part,data
1,1,1,21
1,1,2,24
1,1,3,20
1,1,4,27
1,1,5,19
1,1,6,23
1,1,7,22
1,1,8,19
1,1,9,24
1,1,10,25
1,1,11,21
1,1,12,18
1,1,13,23
1,1,14,24
1,1,15,29
1,1,16,26
1,1,17,20
1,1,18,19
1,1,19,25
1,1,20,19
1,2,1,20
1,2,2,23
1,2,3,21
1,2,4,27
1,2,5,18
1,2,6,21
1,2,7,21
1,2,8,17
1,2,9,23
1,2,10,23
1,2,11,20
1,2,12,19
1,2,13,25
1,2,14,24
1,2,15,30
1,2,16,26
1,2,17,20
1,2,18,21
1,2,19,26
1,2,20,19
2,1,1,20
2,1,2,24
2,1,3,19
2,1,4,28
2,1,5,19
2,1,6,24
2,1,7,22
2,1,8,18
2,1,9,25
2,1,10,26
2,1,11,20
2,1,12,17
2,1,13,25
2,1,14,23
2,1,15,30
2,1,16,25
2,1,17,19
2,1,18,19
2,1,19,25
2,1,20,18
2,2,1,20
2,2,2,24
2,2,3,21
2,2,4,26
2,2,5,18
2,2,6,21
2,2,7,24
2,2,8,20
2,2,9,23
2,2,10,25
2,2,11,20
2,2,12,19
2,2,13,25
2,2,14,25
2,2,15,28
2,2,16,26
2,2,17,20
2,2,18,19
2,2,19,24
2,2,20,17
3,1,1,19
3,1,2,23
3,1,3,20
3,1,4,27
3,1,5,18
3,1,6,23
3,1,7,22
3,1,8,19
3,1,9,24
3,1,10,24
3,1,11,21
3,1,12,18
3,1,13,25
3,1,14,24
3,1,15,31
3,1,16,25
3,1,17,20
3,1,18,21
3,1,19,25
3,1,20,19
3,2,1,21
3,2,2,24
3,2,3,22
3,2,4,28
3,2,5,21
3,2,6,22
3,2,7,20
3,2,8,18
3,2,9,24
3,2,10,25
3,2,11,20
3,2,12,19
3,2,13,25
3,2,14,25
3,2,15,30
3,2,16,27
3,2,17,20
3,2,18,23
3,2,19,25
3,2,20,17
