Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct18,2023",09/2023,--,5.35,--,85.07B
"Jul20,2023",06/2023,5.06,5.31,84.28B,86.06B
"Apr25,2023",03/2023,5.77,4.74,80.99B,78.19B
"Feb02,2023",12/2022,6.08,5.66,80.75B,80.75B
"Oct20,2022",09/2022,4.35,3.95,82.69B,81.15B
"Jul21,2022",06/2022,2.04,3.51,74.14B,76.56B
"Apr21,2022",03/2022,2.94,3.16,66.03B,66.83B
"Feb03,2022",12/2021,12.21,3.5,68.98B,67.08B
"Oct21,2021",09/2021,2.83,3.25,60.36B,63.93B
"Jul22,2021",06/2021,3.21,3.06,64.53B,62.06B
"Apr27,2021",03/2021,2.09,2.4,57.82B,57.2B
"Feb04,2021",12/2020,2.2,1.53,60.76B,57.6B
"Oct23,2020",09/2020,1.84,1.34,57.76B,55.83B
"Jul22,2020",06/2020,1.95,0.94,54.44B,51.89B
"Apr28,2020",03/2020,2.97,1.56,61.51B,60.13B
"Feb05,2020",12/2019,2.59,1.97,67.7B,68.6B
"Oct23,2019",09/2019,3.19,2.3,66.54B,68.1B
"Jul25,2019",06/2019,3.21,2.31,67.67B,67.69B
"Apr17,2019",03/2019,2.86,2.29,63.24B,63.41B
"Feb28,2019",12/2018,2.77,2.63,68.26B,66.82B
"Oct25,2018",09/2018,3.1,3.06,84.38B,83.58B
"Jul19,2018",06/2018,3.39,2.88,79.31B,79.69B
"Apr19,2018",03/2018,2.6,2.41,72.34B,70.7B
"Feb08,2018",12/2017,2.68,--,75.25B,--
"Oct26,2017",09/2017,2.83,--,72.63B,--
"Jul20,2017",06/2017,2.47,--,69.66B,--
"Apr20,2017",03/2017,2.51,--,70.32B,--
"Feb08,2017",12/2016,2.34,--,79.49B,--
"Oct27,2016",09/2016,2.62,--,74.66B,--
