Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct25,2023",09/2023,--,3.99,--,15.98B
"Jul20,2023",06/2023,3.63,3.64,15.88B,15.05B
"Apr25,2023",03/2023,3.64,3.26,14.11B,13.54B
"Feb02,2023",12/2022,3,3.85,16.48B,15.23B
"Oct25,2022",09/2022,2.92,3.47,13.18B,13.09B
"Jul20,2022",06/2022,2.75,2.98,11.85B,11.46B
"Apr26,2022",03/2022,2.22,3.02,10.62B,10.95B
"Feb02,2022",12/2021,3.51,3.37,11.69B,11.55B
"Oct26,2021",09/2021,2.91,3.04,10.28B,10.57B
"Jul20,2021",06/2021,2.32,2.62,9.98B,9.91B
"Apr27,2021",03/2021,2.64,2.46,8.97B,9.23B
"Feb03,2021",12/2020,1.33,2.68,10.7B,10.65B
"Oct22,2020",09/2020,2.46,2.77,9.73B,10.35B
"Jul21,2020",06/2020,3.07,2.12,10.46B,9.38B
"Apr23,2020",03/2020,2.43,2.79,10.59B,10.03B
"Feb04,2020",12/2019,3.39,3.35,12.96B,11.98B
"Oct24,2019",09/2019,3.43,3.1,12.06B,11.18B
"Jul17,2019",06/2019,3.36,3.19,11.34B,11.45B
"Apr24,2019",03/2019,2.9,2.77,10.16B,10.26B
"Feb05,2019",12/2018,3.07,3.07,11.21B,11.63B
"Oct25,2018",09/2018,2.56,2.72,10.13B,10.14B
"Jul16,2018",06/2018,2.65,2.6,10.48B,9.78B
"Apr23,2018",03/2018,2.49,2.14,8.85B,8.5B
"Jan30,2018",12/2017,2.52,2.52,10.11B,"9,720M"
"Oct25,2017",09/2017,1.59,2.06,8.17B,"8,610M"
"Jul17,2017",06/2017,1.14,2.06,8.91B,"8,725M"
"Apr26,2017",03/2017,1.84,1.94,8.13B,"7,972M"
"Jan30,2017",12/2016,2.12,2.15,9.9B,"9,355M"
"Oct25,2016",09/2016,1.81,2.12,8.58B,"8,596M"
"Jul18,2016",06/2016,3.00,2.12,8.95B,"8,801M"
