Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct25,2023",09/2023,--,3.21,--,36.24B
"Jul19,2023",06/2023,3.36,3.55,34.47B,33.68B
"Apr26,2023",03/2023,3.32,2.79,32.39B,31.32B
"Feb03,2023",12/2022,3.36,3.28,32.92B,32.4B
"Oct26,2022",09/2022,3.2,2.96,31.82B,30.17B
"Jul19,2022",06/2022,2.84,2.72,29.47B,28.19B
"Apr27,2022",03/2022,2.57,2.41,26.59B,25.32B
"Feb04,2022",12/2021,2.74,2.5,25.62B,25B
"Oct27,2021",09/2021,2.15,2.33,23.93B,24.08B
"Jul19,2021",06/2021,2.89,2.24,23.65B,23.11B
"Apr28,2021",03/2021,2.03,1.94,21.81B,21.3B
"Feb10,2021",12/2020,2.33,1.93,23.3B,23.66B
"Oct21,2020",09/2020,2.28,1.91,22.23B,21.8B
"Jul17,2020",06/2020,1.26,0.97,19.95B,19.05B
"Apr29,2020",03/2020,1.68,1.72,22.17B,22.04B
"Feb06,2020",12/2019,2.49,2.51,24.95B,25.06B
"Oct18,2019",09/2019,2.43,2.39,24.03B,23.53B
"Jul17,2019",06/2019,2.31,2.33,23.54B,23.51B
"Apr25,2019",03/2019,2,2.08,21.51B,21.29B
"Feb05,2019",12/2018,2.33,2.32,23.17B,22.72B
"Oct19,2018",09/2018,2.15,2.15,21.19B,20.99B
"Jul18,2018",06/2018,1.84,2.33,21.14B,21.12B
"Apr26,2018",03/2018,1.77,1.82,18.55B,18.48B
"Feb06,2018",12/2017,2.15,2.17,20.11B,"19,784M"
"Oct20,2017",09/2017,1.94,2.01,18.5B,"18,700M"
"Jul19,2017",06/2017,1.96,2.06,19.39B,"19,763M"
"Apr26,2017",03/2017,1.73,1.72,18.14B,"17,554M"
"Feb02,2017",12/2016,1.88,1.56,19.48B,"19,590M"
"Oct21,2016",09/2016,1.9,1.91,18.03B,"18,134M"
"Jul19,2016",06/2016,1.82,1.79,17.89B,"17,798M"
