Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Nov09,2023",09/2023,--,18.1,--,120.29B
"Jul28,2023",06/2023,22.59,20.83,119.94B,116.09B
"Apr27,2023",03/2023,19.8,17.67,112.17B,109.56B
"Feb09,2023",12/2022,14.22,14,115.49B,117.23B
"Nov10,2022",09/2022,17.73,16.88,116.6B,119.89B
"Jul29,2022",06/2022,17.54,16.31,109.81B,108.7B
"Apr29,2022",03/2022,18.51,16.21,111.55B,103.37B
"Feb10,2022",12/2021,15.4,14.2,110.78B,102.19B
"Nov12,2021",09/2021,9.45,10.77,86.3B,82.25B
"Jul29,2021",06/2021,7.69,7.64,70.28B,64B
"Apr30,2021",03/2021,13.78,11.98,61.9B,59.2B
"Feb11,2021",12/2020,8.9,9.19,61.62B,59.49B
"Nov05,2020",09/2020,8.17,8.78,57.16B,58.43B
"Jul30,2020",06/2020,8.41,8.22,54.94B,56.62B
"Apr29,2020",03/2020,10.36,9.06,62.72B,59.25B
"Feb14,2020",12/2019,8.64,9.51,64.72B,64.3B
"Oct24,2019",09/2019,9.54,9.36,61.75B,60.14B
"Jul25,2019",06/2019,6.89,5.52,54.95B,52.66B
"Apr26,2019",03/2019,8.45,7.86,52.12B,49.93B
"Feb14,2019",12/2018,14.71,13.52,59.75B,57.5B
"Nov08,2018",09/2018,6.37,5.76,47.91B,47.56B
"Jul26,2018",06/2018,6.07,5.8,45.37B,45.03B
"May18,2018",03/2018,4.2,4.86,45.29B,44.53B
"Feb02,2018",12/2017,10.29,--,45.71B,5.51B
"Nov09,2017",09/2017,9.39,--,52.26B,6.02B
"Jul27,2017",06/2017,7.16,--,41.57B,5.04B
"Apr27,2017",03/2017,8.77,--,47.87B,--
"Feb02,2017",12/2016,10.54,--,48.66B,5.75B
"Nov10,2016",09/2016,12.03,--,51.93B,5.92B
"Jul28,2016",06/2016,--,--,--,5.71B
