Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct25,2023",09/2023,--,1.44,--,42.57B
"Jul20,2023",06/2023,1.42,1.39,43.36B,40.87B
"Apr27,2023",03/2023,1.34,1.2,39.86B,37.24B
"Jan26,2023",12/2022,1.24,1.34,40.05B,38.57B
"Oct19,2022",09/2022,1.34,1.18,38.07B,35.11B
"Jul19,2022",06/2022,1.16,1.08,33.11B,32.03B
"Apr26,2022",03/2022,1.05,1.02,30.09B,30.95B
"Jan25,2022",12/2021,4,4.12,29.53B,29.79B
"Oct20,2021",09/2021,3.73,4.08,27.82B,29.41B
"Jul16,2021",06/2021,3.75,3.85,27.53B,27.79B
"Apr27,2021",03/2021,3.38,3.45,26.02B,25.88B
"Jan29,2021",12/2020,3.44,3.33,25.74B,25.87B
"Oct24,2020",09/2020,2.97,2.96,24.85B,24.05B
"Jul16,2020",06/2020,2.57,2.31,24.1B,21.92B
"Apr23,2020",03/2020,3.15,3.02,25.1B,24.4B
"Jan27,2020",12/2019,3.53,3.67,27.32B,27.41B
"Oct20,2019",09/2019,3.63,3.38,26.68B,25.14B
"Jul14,2019",06/2019,3.36,3.42,25.58B,25.62B
"Apr25,2019",03/2019,3.03,3.11,24.18B,23.28B
"Jan28,2019",12/2018,4.28,3.26,25.32B,24B
"Oct18,2018",09/2018,3.21,3.26,23.68B,24.34B
"Jul20,2018",06/2018,3.2,3.31,24.46B,24.01B
"Apr24,2018",03/2018,2.04,2.81,21.91B,27.99B
"Jan26,2018",12/2017,2.57,3.84,30.87B,"30,608M"
"Oct18,2017",09/2017,2.69,3.52,28.5B,"29,168M"
"Jul17,2017",06/2017,2.5,3.67,29.03B,"30,091M"
"Apr26,2017",03/2017,2.43,3.06,28.03B,"26,070M"
"Jan27,2017",12/2016,2.59,2.99,28.5B,"28,529M"
"Oct20,2016",09/2016,2.08,2.88,26.53B,"26,085M"
"Jul15,2016",06/2016,2.66,0.67,25.44B,"24,710M"
