Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct20,2023",09/2023,--,18.75,--,26.69B
"Jul21,2023",06/2023,20.1,14.98,27.44B,27.16B
"Apr21,2023",03/2023,9.28,9.38,25.71B,24.03B
"Jan27,2023",12/2022,18.92,18.12,24.14B,25.28B
"Oct21,2022",09/2022,13.88,13.94,25.97B,25.79B
"Jul22,2022",06/2022,9.18,3.28,21.23B,20.97B
"Apr22,2022",03/2022,4.3,10.14,20.29B,20.42B
"Jan28,2022",12/2021,12.26,10.98,19.98B,19.93B
"Oct22,2021",09/2021,6.25,6.74,15.82B,16.17B
"Jul16,2021",06/2021,10.41,11.75,17.55B,17.4B
"Apr23,2021",03/2021,15.06,12.02,18.86B,18.22B
"Jan26,2021",12/2020,18.16,16.63,20.87B,20.34B
"Oct23,2020",09/2020,12.99,10.51,17.88B,17.88B
"Jul17,2020",06/2020,-12.66,-11.61,9.47B,10.3B
"Apr24,2020",03/2020,8.86,6.92,18.58B,18.17B
"Jan28,2020",12/2019,17.72,16.65,21.11B,20.37B
"Oct25,2019",09/2019,12.59,13.68,19.63B,20.36B
"Jul19,2019",06/2019,12.93,13.57,20.2B,20.06B
"Apr26,2019",03/2019,11.39,14.77,20.63B,20.16B
"Jan29,2019",12/2018,12.89,15.62,19.9B,20.2B
"Oct26,2018",09/2018,12.34,14.42,18.58B,18.42B
"Jul27,2018",06/2018,19.61,15.95,19.53B,19.5B
"Apr27,2018",03/2018,10.38,15.13,24.42B,23.2B
"Jan30,2018",12/2017,11.53,1.76,21.51B,"2,733M"
"Oct26,2017",09/2017,8.82,1.32,20.82B,"2,510M"
"Jul21,2017",06/2017,8.56,1.43,20.99B,"2,554M"
"May08,2017",03/2017,10.5,1.54,23.04B,"2,585M"
"Feb02,2017",12/2016,10.73,1.87,22.69B,"2,708M"
"Oct27,2016",09/2016,10.62,1.40,22.26B,"2,460M"
"Jul22,2016",06/2016,--,1.73,2.58B,"2,636M"
