Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct20,2023",09/2023,--,5.56,--,19.51B
"Jul20,2023",06/2023,1.9,6.06,18.44B,19.43B
"Apr25,2023",03/2023,9,10.47,19.96B,22.5B
"Feb14,2023",12/2022,9.13,9.68,23.58B,21.26B
"Oct20,2022",09/2022,9.9,9.72,19.48B,20.42B
"Jul21,2022",06/2022,11.54,12.5,21.57B,22.65B
"Apr28,2022",03/2022,13.91,11.07,21.81B,21.97B
"Feb11,2022",12/2021,9.27,8.49,17.76B,18.19B
"Oct21,2021",09/2021,6.57,7.91,15.91B,17.51B
"Jul22,2021",06/2021,8,8.87,17.89B,17.6B
"Apr27,2021",03/2021,7.82,7.2,17.08B,16.03B
"Feb12,2021",12/2020,8.6,7.15,16.17B,14.45B
"Oct28,2020",09/2020,7.44,6.05,13.55B,13.07B
"Jul22,2020",06/2020,4.92,3.98,13.39B,12.7B
"Apr28,2020",03/2020,3.9,4.06,13.21B,12.94B
"Feb13,2020",12/2019,4.97,5.34,12.97B,13.1B
"Oct24,2019",09/2019,5.14,4.38,11.17B,12.69B
"Jul19,2019",06/2019,4.13,5.07,12.75B,13.08B
"May03,2019",03/2019,6.78,6.06,13.05B,13.4B
"Feb13,2019",12/2018,6.69,4.94,12.54B,12.63B
"Oct24,2018",09/2018,4.6,5.96,12.51B,12.53B
"Jul20,2018",06/2018,7.31,7.15,14.07B,13.23B
"Apr27,2018",03/2018,7.09,6.93,13.33B,13.36B
"Feb14,2018",12/2017,7.92,7.48,13.62B,13.27B
"Oct24,2017",09/2017,5.21,6.59,11.63B,"12,320M"
"Jul20,2017",06/2017,5.15,5.03,11.55B,"11,729M"
"Apr25,2017",03/2017,5.88,6.79,12.73B,"12,615M"
"Feb09,2017",12/2016,6.44,5.43,12.14B,"20,473M"
"Oct20,2016",09/2016,4.01,3.78,9.73B,"10,647M"
"Jul19,2016",06/2016,4.92,1.90,18.45B,"9,046M"
