Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Nov07,2023",09/2023,--,0.0743,--,7.42B
"Jul20,2023",06/2023,-0.08,0.485,7.02B,7.06B
"Apr27,2023",03/2023,0.58,0.3025,6.93B,6.93B
"Feb16,2023",12/2022,-0.27,0.047,7.36B,8.09B
"Nov08,2022",09/2022,0.945,-3.59,7.2B,7.2B
"Jul20,2022",06/2022,0.6,-0.1067,6.62B,6.67B
"Apr28,2022",03/2022,0.11,0.07,6.55B,6.22B
"Feb17,2022",12/2021,0.56,0.2667,5.21B,4.74B
"Nov02,2021",09/2021,0.485,0.295,3.94B,3.61B
"Jul16,2021",06/2021,0.07,0.202,3.68B,3.36B
"Apr28,2021",03/2021,0.3035,0.2945,3.35B,2.99B
"Feb18,2021",12/2020,5.19,5.76,3B,3B
"Nov03,2020",09/2020,2.39,2.36,1.78B,1.78B
"Jul17,2020",06/2020,1.51,1.68,1.62B,1.56B
"Apr29,2020",03/2020,2.2,2.35,1.62B,1.44B
"Feb20,2020",12/2019,1.92,2.08,1.54B,1.5B
"Nov05,2019",09/2019,2.03,1.75,1.22B,1.22B
"Jul19,2019",06/2019,0.98,1.54,1.18B,1.22B
"May17,2019",03/2019,1.7,1.39,1.1B,1.1B
"Feb22,2019",12/2018,1.93,0.97,1.15B,1.11B
"Nov06,2018",09/2018,0.71,0.68,979.3M,1.05B
"Jul20,2018",06/2018,0.54,0.52,997.4M,910.9M
"May18,2018",03/2018,0.17,0.35,858.6M,806.9M
"Feb16,2018",12/2017,1.69,0.59,909.3M,850.03M
"Nov07,2017",09/2017,0.22,0.73,781.4M,781.40M
"Jul21,2017",06/2017,-0.03,0.72,745.2M,719.20M
"May19,2017",03/2017,0.67,0.96,622.2M,813.8M
"Feb03,2017",12/2016,1.09,0.05,669.5M,257.90M
