Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct26,2023",09/2023,--,0.2252,--,1.73B
"Jul14,2023",06/2023,-0.35,0.0489,1.75B,1.75B
"Apr28,2023",03/2023,-0.03,-0.9897,1.73B,1.73B
"Feb23,2023",12/2022,0.3,0.2808,1.85B,1.85B
"Oct27,2022",09/2022,0.2953,0.355,1.89B,1.89B
"Jul14,2022",06/2022,-0.32,0.5166,1.88B,1.85B
"Apr27,2022",03/2022,0.64,0.4891,1.83B,1.78B
"Feb23,2022",12/2021,0.4,0.4221,1.7B,1.56B
"Nov04,2021",09/2021,2.63,0.4266,1.46B,1.54B
"Jul15,2021",06/2021,4.05,0.3088,1.45B,1.42B
"May05,2021",03/2021,0.21,0.2878,1.33B,1.31B
"Feb23,2021",12/2020,0.5,0.2462,1.25B,1.21B
"Nov03,2020",09/2020,0.5,0.21,1.2B,1.17B
"Jul14,2020",06/2020,0.37,0.33,1.32B,1.32B
"Apr27,2020",03/2020,0.0535,0.28,1.34B,1.29B
"Feb19,2020",12/2019,1.5,0.76,596M,596M
"Oct29,2019",09/2019,0.2,0.3,507M,507M
"Jul10,2019",06/2019,0.0399,--,464M,434M
"Apr29,2019",03/2019,0.0299,--,429M,429M
"Feb20,2019",12/2018,0.938,0.19,453M,453M
"Oct31,2018",09/2018,0.1497,0.22,427M,416M
"Aug29,2018",06/2018,0.1497,0.15,410M,410M
"May30,2018",03/2018,0.1098,0.11,390M,390M
"Feb28,2018",12/2017,0.1197,0.29,384M,383.00M
"Nov29,2017",09/2017,0.1497,--,370M,--
"Aug30,2017",06/2017,0.1397,--,348M,--
"May31,2017",03/2017,0.0798,--,236M,--
"Mar01,2017",12/2016,--,--,144M,--
