Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct27,2023",09/2023,--,1.8,--,34.2B
"Jul20,2023",06/2023,-0.0175,1.28,32.65B,33.57B
"Apr28,2023",03/2023,-2.18,-2.57,32.73B,29.92B
"Feb02,2023",12/2022,-7.12,-0.6367,35.77B,37.05B
"Oct28,2022",09/2022,-2.23,0.291,35.24B,32.52B
"Jul21,2022",06/2022,0.93,2.36,33.75B,31.94B
"Apr29,2022",03/2022,1.49,1.7,30.12B,30.59B
"Jan28,2022",12/2021,2.09,3.48,35.37B,32.69B
"Oct27,2021",09/2021,3.95,3.71,30.93B,29.91B
"Jul20,2021",06/2021,4.4,5.29,30.3B,29.19B
"Apr28,2021",03/2021,5.41,3.51,29.03B,27.64B
"Feb02,2021",12/2020,6.47,5.52,33.9B,31.9B
"Oct23,2020",09/2020,8.2,5.17,32B,31.15B
"Jul17,2020",06/2020,-0.49,-1.94,23.48B,23.3B
"May07,2020",03/2020,-0.3,-0.15,26.58B,25.84B
"Jan31,2020",12/2019,1.66,2.71,32.01B,34.07B
"Oct25,2019",09/2019,2.2,3.58,32.52B,31.53B
"Jul18,2019",06/2019,3.37,4.01,31.69B,33.02B
"Apr26,2019",03/2019,3.36,2.9,29.71B,29.42B
"Feb01,2019",12/2018,4.69,4.68,34.43B,33.47B
"Oct26,2018",09/2018,3.46,4.43,30.44B,30.94B
"Jul18,2018",06/2018,1.54,3.11,31.35B,31.04B
"Apr27,2018",03/2018,1.64,3.04,27.91B,28.35B
"Jan31,2018",12/2017,5.71,4.58,32.37B,"31,407M"
"Oct27,2017",09/2017,4.24,4.62,29.31B,"30,819M"
"Jul19,2017",06/2017,3.87,4.27,31.5B,"31,619M"
"Apr28,2017",03/2017,3.22,3.25,28.88B,"29,354M"
"Feb01,2017",12/2016,3.76,4.20,32.14B,"33,320M"
"Oct28,2016",09/2016,3.76,4.64,30.85B,"31,429M"
"Jul20,2016",06/2016,3.73,3.29,29.98B,"30,681M"
