Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct17,2023",09/2023,--,0.4949,--,66.66B
"Jul14,2023",06/2023,-0.21,-0.4161,64.4B,63.94B
"Apr18,2023",03/2023,0.45,0.5266,62.6B,60.95B
"Jan20,2023",12/2022,1.82,2.24,85.98B,84.78B
"Oct20,2022",09/2022,1.56,1.77,68.04B,66.39B
"Jul14,2022",06/2022,1.35,1.61,62.47B,61.36B
"Apr14,2022",03/2022,0.88,1.29,55.1B,54.14B
"Jan25,2022",12/2021,3.02,2.04,71.3B,68.06B
"Oct19,2021",09/2021,1.73,1.5,56.3B,58.28B
"Jul16,2021",06/2021,1.1,1.12,54.9B,57.26B
"Apr21,2021",03/2021,0.96,0.9308,49.8B,52.66B
"Jan29,2021",12/2020,2.26,1.73,69.6B,68.07B
"Oct21,2020",09/2020,1.61,1.29,57.47B,57.16B
"Jul17,2020",06/2020,0.74,0.54,55.6B,55.16B
"Apr22,2020",03/2020,0.65,0.71,49.8B,52.92B
"Jan24,2020",12/2019,1.33,1.33,66.4B,65.91B
"Oct17,2019",09/2019,-1.89,0.76,57.1B,56.45B
"Jul17,2019",06/2019,0.59,0.73,54.81B,53.5B
"Apr17,2019",03/2019,0.8,0.67,48.9B,48.36B
"Jan25,2019",12/2018,-0.77,0.83,63.8B,61.45B
"Oct18,2018",09/2018,1.03,0.43,53.81B,50.28B
"Jul18,2018",06/2018,-0.09,0.19,49.8B,48.25B
"Apr20,2018",03/2018,0.11,-0.21,43.41B,43.54B
"Jan31,2018",12/2017,-1.19,0.47,57.2B,"58,603M"
"Oct20,2017",09/2017,-0.55,0.04,47.66B,"47,624M"
"Jul18,2017",06/2017,0.17,0.38,50.28B,"50,877M"
"Apr25,2017",03/2017,0.1154,0.28,46.4B,"47,532M"
"Jan26,2017",12/2016,0.62,0.70,65.22B,"59,524M"
"Oct21,2016",09/2016,0.34,0.34,51.08B,"52,225M"
"Jul19,2016",06/2016,0.83,0.91,54.11B,"55,291M"
