Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct26,2023",09/2023,--,4.72,--,43.27B
"Jul20,2023",06/2023,3.53,4.22,43.93B,44.1B
"Apr27,2023",03/2023,3.97,3.36,42.93B,41.26B
"Jan26,2023",12/2022,3.61,3.56,43.83B,43.84B
"Oct27,2022",09/2022,2.81,2.68,40.11B,39.46B
"Jul21,2022",06/2022,2.97,2.83,37.93B,35.52B
"Apr22,2022",03/2022,2.72,1.91,34.3B,32.31B
"Jan26,2022",12/2021,2.82,3.07,34.23B,33.29B
"Oct22,2021",09/2021,3.33,2.89,31.15B,31.64B
"Jul16,2021",06/2021,2.89,2.83,28.97B,28.97B
"Apr23,2021",03/2021,3.14,3.2,27.53B,28.47B
"Jan27,2021",12/2020,3.92,3.98,30.96B,30.96B
"Oct22,2020",09/2020,3.55,3.79,28.68B,29.35B
"Jul13,2020",06/2020,3.12,3.12,28.41B,28.41B
"Apr23,2020",03/2020,4.83,4.86,33.71B,33.71B
"Jan22,2020",12/2019,4.1,4.04,33.69B,33.69B
"Oct25,2019",09/2019,3.99,3.9,32.57B,32.57B
"Jul18,2019",06/2019,3.72,3.64,32.07B,32.07B
"Apr25,2019",03/2019,2.86,2.87,30.66B,30.05B
"Jan31,2019",12/2018,4.24,4.3,31.11B,31.11B
"Oct29,2018",09/2018,1.41,2.9,29.65B,29.65B
"Jul19,2018",06/2018,2.94,2.95,29.72B,29.72B
"Apr27,2018",03/2018,2.61,2.6,28.02B,27.77B
"Jan25,2018",12/2017,4.32,3.17,28.66B,"28,691M"
"Oct26,2017",09/2017,3.17,3.06,27.18B,"27,449M"
"Jul18,2017",06/2017,3.06,2.71,28.16B,"28,022M"
"May31,2017",03/2017,2.53,--,25.27B,--
"Mar01,2017",12/2016,--,--,26.77B,--
