Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct26,2023",09/2023,--,1.26,--,464.69M
"Jul21,2023",06/2023,1.22,1.19,441.08M,447.6M
"Apr27,2023",03/2023,1.18,1.12,429.57M,427.89M
"Feb02,2023",12/2022,1.05,1.08,407.5M,403.7M
"Oct27,2022",09/2022,1.02,0.9838,378.53M,368.51M
"Jul21,2022",06/2022,0.94,0.94,344M,346.4M
"Apr28,2022",03/2022,0.93,0.8453,326.77M,321.31M
"Feb09,2022",12/2021,0.8,0.803,300.23M,302.25M
"Oct28,2021",09/2021,0.71,0.7323,276.02M,282.85M
"Jul21,2021",06/2021,0.68,0.6705,256.69M,250.41M
"Apr27,2021",03/2021,0.62,0.574,235.8M,216.27M
"Jul18,2018",06/2018,0.55,0.10,59.25M,56.21M
"Apr19,2018",03/2018,0.45,0.09,51.59M,52.42M
"Mar23,2018",12/2017,0.5,0.09,50.72M,50.26M
"Oct25,2017",09/2017,0.46,0.08,45.69M,44.82M
"Jul20,2017",06/2017,0.75,0.07,81.98M,41.71M
"Apr20,2017",03/2017,0.35,0.05,39.69M,36.16M
