Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct23,2023",09/2023,--,1.88,--,7.15B
"Jul18,2023",06/2023,1.09,1.24,7.18B,6.85B
"Apr26,2023",03/2023,2.34,1.83,7.14B,6.73B
"Feb01,2023",12/2022,3.35,3.52,8.5B,8.44B
"Oct19,2022",09/2022,3.1,2.44,6.5B,6.81B
"Jul19,2022",06/2022,2.33,2.17,6.67B,6.75B
"Apr26,2022",03/2022,2.11,2.37,5.77B,6.34B
"Jan28,2022",12/2021,4.54,3.53,7.99B,8.07B
"Oct20,2021",09/2021,2.96,2.41,6.31B,6.59B
"Jul16,2021",06/2021,3.04,2.32,6.59B,6.59B
"Apr20,2021",03/2021,2.68,1.47,6.17B,5.87B
"Jan28,2021",12/2020,4.58,4.36,8.84B,8.7B
"Oct16,2020",09/2020,5.37,4.12,7.95B,7.83B
"Jul16,2020",06/2020,3.07,2.08,6.97B,6.98B
"Apr22,2020",03/2020,1.41,1.09,6.03B,6.03B
"Jan30,2020",12/2019,3.84,3.8,8.03B,9.26B
"Oct18,2019",09/2019,1.42,0.91,5.96B,6.06B
"Jul17,2019",06/2019,1.12,1.18,6.28B,6.28B
"Apr23,2019",03/2019,0.64,0.44,5.55B,5.46B
"Jan29,2019",12/2018,2.62,5.07,7.89B,7.94B
"Oct18,2018",09/2018,-5.34,0.61,5.68B,5.44B
"Jul17,2018",06/2018,0.47,0.65,5.73B,5.73B
"Apr30,2018",03/2018,0.46,-0.59,4.87B,4.82B
"Jan30,2018",12/2017,3.5,4.35,7.37B,"7,299M"
"Oct19,2017",09/2017,0.7557,1.66,6.7B,"6,923M"
"Jul17,2017",06/2017,1.38,1.74,7.24B,"7,175M"
"Apr25,2017",03/2017,1.18,1.13,6.66B,"6,562M"
"Jan25,2017",12/2016,4.03,5.24,9.52B,"9,578M"
"Oct18,2016",09/2016,1.55,1.83,6.93B,"7,006M"
"Oct16,2014",09/2014,--,2.02,--,"6,286M"
