Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Sep27,2023",08/2023,--,2.29,--,64.54B
"Jun29,2023",05/2023,2.02,1.75,57.62B,57.62B
"Mar28,2023",02/2023,0.316,-0.5983,54.87B,54.87B
"Jan27,2023",11/2022,-0.4507,1.74,62.43B,62.45B
"Sep29,2022",08/2022,1.3,1.98,57.45B,57.45B
"Jun29,2022",05/2022,2.18,1.8,54.5B,52.09B
"Mar31,2022",02/2022,0.1045,0.5567,49.17B,49.17B
"Jan28,2022",11/2021,2.78,2.44,56.81B,56.81B
"Sep30,2021",08/2021,2.83,2.38,55.59B,55.59B
"Jul01,2021",05/2021,1.64,1.62,46.51B,46.51B
"Mar29,2021",02/2021,-0.65,-0.6734,40.06B,40.06B
"Jan29,2021",11/2020,1.44,1.45,52.55B,52.54B
"Oct01,2020",08/2020,1.05,0.7894,50.87B,50.87B
"Jun26,2020",05/2020,-3.02,-3.03,28.66B,28.66B
"Apr02,2020",02/2020,1.13,0.7,54.95B,54.95B
"Jan30,2020",11/2019,2.54,2.28,61.69B,61.7B
"Oct02,2019",08/2019,2.33,2.28,62.57B,62.57B
"Jun27,2019",05/2019,2.76,2.81,57.47B,57.47B
"Mar28,2019",02/2019,0.49,0.31,51.02B,51.02B
"Jan29,2019",11/2018,2.14,2.29,56.41B,56.43B
"Sep27,2018",08/2018,1.87,1.96,55.82B,55.82B
"Jun28,2018",05/2018,2.8,2.89,51.98B,51.98B
"Mar27,2018",02/2018,0.83,0.71,46.18B,46.18B
"Jan31,2018",11/2017,2.41,2.31,50.41B,"52,040M"
"Sep28,2017",08/2017,2.32,2.39,51.23B,"51,406M"
"Jun29,2017",05/2017,3.56,3.43,51.38B,"51,721M"
"Mar29,2017",02/2017,1.48,1.43,46.99B,"47,948M"
"Jan31,2017",11/2016,3.57,8.86,52.72B,"122,726M"
"Oct04,2016",08/2016,--,2.94,48.98B,"49,116M"
"Sep24,2015",08/2015,3.34,3.17,46.02B,"45,854M"
