Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct27,2023",09/2023,--,0.0864,--,1.33B
"Jul26,2023",06/2023,0.108,0.1069,1.37B,1.35B
"Apr28,2023",03/2023,0.104,0.0996,1.29B,1.26B
"Jan24,2023",12/2022,0.121,0.1239,1.4B,1.4B
"Oct27,2022",09/2022,0.114,0.1078,1.32B,1.3B
"Jul27,2022",06/2022,0.112,0.1089,1.28B,1.27B
"Apr29,2022",03/2022,0.099,0.0867,1.16B,1.12B
"Feb02,2022",12/2021,0.11,0.0952,1.21B,1.2B
"Oct28,2021",09/2021,0.09,0.0942,1.08B,1.07B
"Jul27,2021",06/2021,0.09,0.0868,1.08B,1.03B
"Apr29,2021",03/2021,0.08,0.0737,977.9M,943.6M
"Feb03,2021",12/2020,6.26,0.09,--,"1,052M"
"Oct28,2020",09/2020,5.49,0.07,--,908.14M
"Jul24,2020",06/2020,4.28,0.04,--,873.12M
"Apr29,2020",03/2020,4.38,0.06,--,855.50M
"Oct30,2019",09/2019,5.46,0.07,--,959.15M
"Jul26,2019",06/2019,5.50,0.07,--,982.84M
"May07,2019",03/2019,5.15,0.07,--,921.39M
"Feb06,2019",12/2018,6.27,0.08,--,"1,037M"
"Nov01,2018",09/2018,5.05,0.07,--,917.10M
"Jul31,2018",06/2018,5.13,0.07,936.9M,917.31M
"May04,2018",03/2018,4.41,0.06,834.7M,844.26M
"Feb07,2018",12/2017,4.52,0.07,952.7M,914.67M
"Oct27,2017",09/2017,4.43,0.06,852.4M,842.96M
"Jul27,2017",06/2017,4.47,0.06,864.9M,872.19M
"May02,2017",03/2017,0.27,0.06,779.2M,767.63M
"Oct22,2014",09/2014,--,0.29,--,627.69M
"Aug07,2014",06/2014,2.67,0.29,--,645.03M
"May09,2014",03/2014,2.40,0.27,--,599.28M
"Feb11,2014",12/2013,2.62,0.30,--,636.72M
