Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct19,2023",09/2023,--,--,--,--
"Jul17,2023",06/2023,14.8,--,14.83B,17.27B
"Apr20,2023",03/2023,10.72,--,14.01B,16.96B
"Jan20,2023",12/2022,16.81,--,14.17B,--
"Oct21,2022",09/2022,2.73,--,13.72B,--
"Jul15,2022",06/2022,-21.38,--,12.28B,--
"Apr21,2022",03/2022,-22.55,--,11.65B,--
"Jan21,2022",12/2021,26.46,--,11.04B,--
"Oct18,2021",09/2021,8.8,--,10.36B,--
"Jul15,2021",06/2021,17.15,--,9.68B,--
"Apr20,2021",03/2021,28.79,--,9.67B,--
"Jan21,2021",12/2020,9.99,--,11.21B,--
"Oct19,2020",09/2020,35.49,--,9.92B,--
"Jul17,2020",06/2020,84.04,--,8.22B,--
"Apr21,2020",03/2020,-60.64,--,9.98B,--
"Jan21,2020",12/2019,44.04,--,9.99B,--
"Nov22,2019",09/2019,26.92,--,10.95B,--
"Jul17,2019",06/2019,23.6,--,10.97B,--
"Apr25,2019",03/2019,37.64,--,10.33B,--
"Jan24,2019",12/2018,-58.94,2.4,13.03B,9.61B
"Oct22,2018",09/2018,33.44,2.42,11.02B,8.71B
"Jul17,2018",06/2018,16.75,4.62,10.89B,9.15B
"Apr20,2018",03/2018,5.76,7.58,8.61B,8.82B
"Jan23,2018",12/2017,-1.33,--,8.95B,"8,460M"
"Oct24,2017",09/2017,7.02,4.97,8.3B,"8,817M"
"Jul19,2017",06/2017,12.51,3.17,8.72B,"8,680M"
"Apr24,2017",03/2017,39.91,4.29,8.41B,"7,985M"
"Jan31,2017",12/2016,12.06,-17.43,8.75B,"10,394M"
"Oct19,2016",09/2016,40.39,-7.29,7.87B,"6,974M"
"Jul19,2016",06/2016,3.42,-0.07,9.74B,"7,037M"
