Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct18,2023",09/2023,--,--,--,--
"Jul11,2023",06/2023,-5.02,--,--,--
"Apr21,2023",03/2023,9.09,--,--,--
"Feb02,2023",12/2022,-18.16,--,461.0M,--
"Oct19,2022",09/2022,-11.3,--,461.0M,--
"Jul11,2022",06/2022,-24.09,--,3.08B,--
"Apr21,2022",03/2022,-16.29,--,3.08B,--
"Feb03,2022",12/2021,-12.46,--,563.0M,--
"Oct20,2021",09/2021,-1.14,--,563.0M,--
"Jul11,2021",06/2021,26.64,--,1.13B,--
"Apr22,2021",03/2021,12.96,--,1.13B,--
"Feb04,2021",12/2020,13.59,--,1.17B,--
"Oct15,2020",09/2020,72.84,--,20.28B,--
"Jul12,2020",06/2020,87.19,--,516.0M,--
"Apr16,2020",03/2020,-29.65,--,516.0M,--
"Feb06,2020",12/2019,-3.94,--,892.0M,--
"Oct24,2019",09/2019,8.3,--,1.13B,--
"Jul19,2019",06/2019,16.67,--,889.0M,--
"Apr26,2019",03/2019,38.42,--,889.0M,--
"Feb13,2019",12/2018,-23.18,--,449.0M,--
"Oct25,2018",09/2018,-37.59,--,449.0M,--
"Jul20,2018",06/2018,14.25,--,1.22B,1.34B
"Apr30,2018",03/2018,7.21,--,218.0M,--
"Feb12,2018",12/2017,13.22,--,5.06B,--
"Oct26,2017",09/2017,10.04,--,256M,--
"Jul21,2017",06/2017,12.22,--,1.84B,--
"Apr26,2017",03/2017,25.6,--,1.84B,--
"Feb10,2017",12/2016,-5.55,3.97,-2.04B,--
"Oct26,2016",09/2016,26.49,--,249.9M,--
"Oct24,2014",09/2014,--,--,--,"24,440M"
