Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct19,2023",09/2023,--,0.3642,--,2.96B
"Jul17,2023",06/2023,0.37,0.3458,2.96B,2.91B
"Apr27,2023",03/2023,0.31,0.2749,2.92B,2.83B
"Feb02,2023",12/2022,0.34,0.2974,2.9B,2.7B
"Oct20,2022",09/2022,0.27,0.2566,2.5B,2.45B
"Jul18,2022",06/2022,0.28,0.2396,2.44B,2.41B
"Apr28,2022",03/2022,0.22,0.1733,2.49B,2.14B
"Feb03,2022",12/2021,0.26,0.2438,2.44B,2.41B
"Oct21,2021",09/2021,0.25,0.2305,2.34B,2.36B
"Jul21,2021",06/2021,0.25,0.2132,2.42B,2.32B
"Apr29,2021",03/2021,0.19,0.1635,2.42B,2.25B
"Feb04,2021",12/2020,1.82,0.17,--,"2,181M"
"Oct23,2020",09/2020,2.17,0.16,--,"2,091M"
"Jul17,2020",06/2020,0.62,0.13,--,"2,095M"
"Apr29,2020",03/2020,1.18,0.10,--,"2,050M"
"Oct24,2019",09/2019,1.82,0.16,--,"2,114M"
"Jul18,2019",06/2019,1.78,0.18,--,"2,174M"
"Oct24,2018",09/2018,--,1.92,--,22.88B
"Jul19,2018",06/2018,2.8,0.23,26.33B,"2,560M"
"Apr25,2018",03/2018,2.05,0.19,3.20B,"2,318M"
"Jan25,2018",12/2017,2.08,0.18,3.18B,"2,442M"
"Oct26,2017",09/2017,2.06,0.21,3.31B,"2,457M"
"Jul20,2017",06/2017,1.75,0.20,3.36B,"2,458M"
"Apr27,2017",03/2017,2.02,0.20,3.39B,"2,431M"
"Jan26,2017",12/2016,2.02,0.20,3.52B,"2,457M"
"Oct26,2016",09/2016,2.08,0.20,3.43B,"2,403M"
"Jul20,2016",06/2016,2.04,0.21,3.53B,"2,526M"
"Apr27,2016",03/2016,1.99,0.19,3.32B,"2,356M"
"Jan27,2016",12/2015,1.74,0.22,3.70B,"2,593M"
"Oct21,2015",09/2015,1.95,0.22,3.33B,"2,420M"
