Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct25,2023",09/2023,--,4.1,--,19.26B
"Jul18,2023",06/2023,4.62,3.99,20.02B,18.78B
"Apr26,2023",03/2023,4.42,3.59,19.06B,17.4B
"Jan26,2023",12/2022,3.48,3.36,18.83B,16.99B
"Oct26,2022",09/2022,3.4,2.76,16.55B,14.9B
"Jul14,2022",06/2022,2.71,2.57,14.44B,14.07B
"Apr27,2022",03/2022,2.98,2.97,14.77B,14.75B
"Jan27,2022",12/2021,2.85,2.7,13.87B,13.57B
"Oct20,2021",09/2021,3.04,2.59,13.72B,13.07B
"Jul15,2021",06/2021,3.02,2.49,13.68B,12.96B
"Apr27,2021",03/2021,2.76,2.26,13.35B,12.68B
"Jan27,2021",12/2020,2.35,2.17,13.07B,12.7B
"Oct22,2020",09/2020,2.19,2.07,12.56B,12.39B
"Jul15,2020",06/2020,1.61,1.73,14B,12.75B
"Apr29,2020",03/2020,1.08,1.49,10.09B,11.29B
"Jan29,2020",12/2019,2.7,2.29,14.09B,12.6B
"Oct23,2019",09/2019,2.2,2.11,11.94B,11.91B
"Jul12,2019",06/2019,2.25,2.08,12.2B,11.82B
"Apr30,2019",03/2019,2.16,1.99,11.91B,11.45B
"Jan30,2019",12/2018,2.1,1.96,11.74B,11.42B
"Oct25,2018",09/2018,2.09,1.95,11.43B,11.09B
"Jul18,2018",06/2018,4.61,4.1,11.9B,11.32B
"May02,2018",03/2018,1.83,1.95,10.79B,11.17B
"Jan31,2018",12/2017,1.46,2.05,11.9B,"11,812M"
"Oct25,2017",09/2017,1.95,1.92,11.14B,"11,071M"
"Jul14,2017",06/2017,2.08,1.92,11.41B,"11,127M"
"Apr27,2017",03/2017,1.97,1.81,11.2B,"10,831M"
"Feb01,2017",12/2016,1.95,1.86,11.62B,"10,940M"
"Oct20,2016",09/2016,1.9,1.75,10.8B,"10,383M"
"Jul14,2016",06/2016,2.30,1.75,16.84B,"10,645M"
