Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct23,2023",09/2023,--,3.33,--,31.36B
"Jul19,2023",06/2023,2.65,3.09,32.24B,31.18B
"Apr21,2023",03/2023,3.04,3.09,30.97B,29.59B
"Jan20,2023",12/2022,2.75,2.9,31.1B,30.35B
"Oct17,2022",09/2022,2.71,2.71,29.27B,27.06B
"Jul15,2022",06/2022,2.88,2.94,31.66B,26.09B
"Apr20,2022",03/2022,2.7,3.03,24.92B,24.74B
"Jan20,2022",12/2021,3.07,2.99,29.13B,27.34B
"Oct18,2021",09/2021,3.12,2.58,24.83B,24.46B
"Jul16,2021",06/2021,2.8,2.74,23.46B,23.51B
"Apr20,2021",03/2021,2.53,2.45,21.69B,22.24B
"Jan21,2021",12/2020,2.09,1.91,22.41B,22.52B
"Oct16,2020",09/2020,2.54,2.19,20.15B,20.56B
"Jul16,2020",06/2020,0.88,0.66,20.23B,20.4B
"Apr20,2020",03/2020,1.46,1.74,23.62B,23.92B
"Jan21,2020",12/2019,-0.11,-0.14,26.6B,26.49B
"Oct18,2019",09/2019,1.63,2.28,25.16B,25.12B
"Jul17,2019",06/2019,2.83,2.92,26.47B,26.92B
"Apr18,2019",03/2019,2.5,2.58,25.03B,25.21B
"Jan21,2019",12/2018,2.07,2.37,25.97B,25.37B
"Oct23,2018",09/2018,3.01,2.96,24.44B,24.16B
"Jul17,2018",06/2018,2.72,2.72,26.14B,25.42B
"Apr24,2018",03/2018,2.34,2.29,23.69B,23.18B
"Feb05,2018",12/2017,5.12,2.07,23.94B,"23,118M"
"Oct24,2017",09/2017,1.87,1.66,22.61B,"21,596M"
"Jul17,2017",06/2017,1.76,1.75,23.55B,"22,752M"
"Apr24,2017",03/2017,1.82,1.61,22.44B,"21,271M"
"Feb01,2017",12/2016,1.67,1.45,21.82B,"21,242M"
"Oct24,2016",09/2016,1.28,1.11,19.72B,"19,725M"
"Oct27,2014",09/2014,1.15,1.06,22.59B,"21,431M"
