Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct27,2023",09/2023,--,4.23,--,26.52B
"Jul19,2023",06/2023,5.36,4.72,27.12B,26.98B
"Apr27,2023",03/2023,4.77,4.27,26.55B,25.95B
"Feb02,2023",12/2022,3,3.28,25.36B,25.26B
"Oct25,2022",09/2022,2.86,3.83,24.98B,23.61B
"Jul20,2022",06/2022,2.9,3.9,23.66B,22.56B
"Apr26,2022",03/2022,4.59,3.79,22.94B,21.93B
"Feb03,2022",12/2021,3.01,3.39,20.99B,20.04B
"Oct26,2021",09/2021,4.04,4.02,20.15B,20.03B
"Jul20,2021",06/2021,5.11,4.21,20.74B,20.81B
"Apr22,2021",03/2021,4.11,3.94,19.87B,19.69B
"Feb02,2021",12/2020,4.17,2.99,19.57B,19.4B
"Oct27,2020",09/2020,3.8,2.23,18.6B,17.64B
"Jul21,2020",06/2020,2.72,1.24,16.6B,16.67B
"Apr23,2020",03/2020,3.41,2.76,20.09B,19.97B
"Feb04,2020",12/2019,2.27,2.64,21.21B,20.78B
"Oct22,2019",09/2019,2.84,3.15,21.09B,21.22B
"Jul17,2019",06/2019,3.38,3.5,22.49B,22.43B
"Apr25,2019",03/2019,3.77,3.46,21.28B,21.33B
"Jan29,2019",12/2018,4.62,3.11,21.19B,21.05B
"Oct25,2018",09/2018,3.34,3.6,21.34B,21.03B
"Jul19,2018",06/2018,4.25,3.89,22.62B,21.98B
"Apr26,2018",03/2018,3.77,3.46,20.56B,20.35B
"Jan31,2018",12/2017,4.12,2.72,19.48B,"19,323M"
"Oct31,2017",09/2017,2.36,2.67,18.63B,"18,665M"
"Jul21,2017",06/2017,2.51,3.13,20.23B,"20,057M"
"Apr27,2017",03/2017,3.19,2.77,19.6B,"18,754M"
"Feb01,2017",12/2016,2.18,2.25,18.79B,"18,741M"
"Oct26,2016",09/2016,2.38,2.38,17.91B,"17,706M"
"Jul21,2016",06/2016,1.75,2.52,18.37B,"18,627M"
