Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct27,2023",09/2023,--,1.03,--,4.52B
"Jul21,2023",06/2023,1.32,1.35,4.58B,4.8B
"May01,2023",03/2023,1.74,1.56,4.81B,4.99B
"Jan27,2023",12/2022,1.76,1.88,4.87B,4.81B
"Oct28,2022",09/2022,2.35,2.38,5.01B,5.34B
"Jul22,2022",06/2022,3.05,3.02,5.9B,5.67B
"Apr29,2022",03/2022,2.51,2.16,5.02B,5.35B
"Jan28,2022",12/2021,2.84,2.27,4.76B,5.03B
"Oct29,2021",09/2021,2.59,2.27,5.08B,4.98B
"Jul23,2021",06/2021,2.11,2.11,4.81B,4.27B
"Apr30,2021",03/2021,1.14,0.9585,4.17B,4.44B
"Jan29,2021",12/2020,1.11,0.9717,4.59B,4.55B
"Oct30,2020",09/2020,0.6763,0.2109,4.34B,4.63B
"Jul21,2020",06/2020,0.65,0.65,4.69B,4.52B
"Apr24,2020",03/2020,0.69,0.74,4.79B,4.75B
"Jan30,2020",12/2019,0.6806,0.67,4.31B,4.31B
"Nov05,2019",09/2019,1.08,1.05,4.98B,4.98B
"Jul26,2019",06/2019,1,1,5.23B,5.16B
"Apr26,2019",03/2019,1.29,1.25,5.08B,5.17B
"Jan30,2019",12/2018,1.22,1.22,4.93B,5.04B
"Oct30,2018",09/2018,1.41,1.09,4.76B,5.03B
"Jul25,2018",06/2018,1.57,1.43,4.67B,4.67B
"Apr26,2018",03/2018,1,0.89,4.4B,4.38B
"Jan30,2018",12/2017,0.85,0.81,4.24B,"4,244M"
"Oct31,2017",09/2017,0.89,0.70,4.23B,"4,008M"
"Jul21,2017",06/2017,0.41,0.61,4.22B,"4,023M"
"Apr27,2017",03/2017,0.5302,3.24,29.1B,"29,377M"
"Jan26,2017",12/2016,0.5852,3.47,30.9B,"29,879M"
"Oct27,2016",09/2016,0.77,3.43,29.15B,"29,452M"
"Jul19,2016",06/2016,1.59,3.21,29.09B,"29,655M"
