Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct18,2023",09/2023,--,3.39,--,15.06B
"Jul19,2023",06/2023,3.42,3.35,15.17B,15.03B
"Apr26,2023",03/2023,3.32,3.13,14.99B,14.2B
"Feb08,2023",12/2022,3.12,3,14.01B,13.81B
"Oct19,2022",09/2022,2.81,2.47,12.9B,11.99B
"Jul15,2022",06/2022,2.07,2.23,11.04B,11.31B
"Apr27,2022",03/2022,2.7,2.15,12.31B,11.86B
"Feb15,2022",12/2021,2.68,2.36,11.56B,11.65B
"Oct18,2021",09/2021,2.51,2.23,11.82B,11.53B
"Jul16,2021",06/2021,2.39,2.19,11.6B,11.34B
"Apr21,2021",03/2021,2.21,2.02,11.29B,11.07B
"Feb15,2021",12/2020,2.21,1.95,11.43B,11.05B
"Oct21,2020",09/2020,1.68,1.84,11.01B,10.93B
"Jul15,2020",06/2020,2,1.7,10.63B,11.08B
"Apr21,2020",03/2020,1.99,1.68,11.18B,11.12B
"Feb04,2020",12/2019,2.21,1.99,11.38B,11.23B
"Oct23,2019",09/2019,1.82,2.06,11.11B,11.11B
"Jul17,2019",06/2019,2.17,2.13,11.28B,11.28B
"Apr17,2019",03/2019,2.45,2.04,10.79B,10.86B
"Feb06,2019",12/2018,2.07,1.97,11.08B,10.88B
"Oct24,2018",09/2018,2.11,2.1,10.73B,10.75B
"Jul18,2018",06/2018,2.69,2.25,11.64B,11.55B
"Apr27,2018",03/2018,2.06,2.06,10.32B,10.49B
"Feb08,2018",12/2017,1.93,2.22,11.15B,"10,959M"
"Oct18,2017",09/2017,2.15,2.07,10.25B,"10,249M"
"Jul18,2017",06/2017,2.09,1.99,10.24B,"10,290M"
"Apr26,2017",03/2017,2.02,1.89,10.04B,"9,868M"
"Feb08,2017",12/2016,1.77,2.01,10.13B,"9,969M"
"Oct19,2016",09/2016,2.01,2.08,10.47B,"10,140M"
"Jul15,2016",06/2016,2.14,1.97,13.09B,"9,667M"
