Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct26,2023",09/2023,--,7.53,--,17.95B
"Jul18,2023",06/2023,8.09,7.21,18.17B,17.22B
"Apr27,2023",03/2023,6.71,6.6,17.39B,16.26B
"Jan31,2023",12/2022,6.05,5.66,16.12B,14.7B
"Oct27,2022",09/2022,5.1,4.57,14.03B,12.48B
"Jul19,2022",06/2022,4.18,4.28,11.61B,11.8B
"Apr28,2022",03/2022,4.1,4.04,11.46B,11.61B
"Feb02,2022",12/2021,4.3,4.26,11.75B,11.89B
"Oct21,2021",09/2021,4.89,4.5,11.87B,11.65B
"Jul16,2021",06/2021,4.96,4.24,11.87B,11.44B
"Apr27,2021",03/2021,4.43,3.98,11.4B,11.35B
"Feb01,2021",12/2020,4.01,3.71,11.76B,11.57B
"Oct20,2020",09/2020,4.68,3.76,11.6B,11.46B
"Jul17,2020",06/2020,4.31,3.3,12.08B,11.29B
"Apr22,2020",03/2020,-1.5,0.8,10.23B,10.52B
"Jan28,2020",12/2019,3.95,3.76,11.96B,11.22B
"Oct23,2019",09/2019,4.16,4.26,11.23B,11.14B
"Jul17,2019",06/2019,4.75,4.38,11.42B,11.24B
"Apr25,2019",03/2019,4.7,4.32,11.36B,10.85B
"Jan28,2019",12/2018,4.09,4.4,10.73B,10.9B
"Oct23,2018",09/2018,4.93,4.49,11.18B,10.83B
"Jul18,2018",06/2018,5.37,4.61,11.8B,11.4B
"Apr27,2018",03/2018,4.5,4.19,10.74B,10.47B
"Feb06,2018",12/2017,4.23,4.15,10.98B,"10,528M"
"Oct24,2017",09/2017,4.31,4.17,10.42B,"10,240M"
"Jul19,2017",06/2017,4.24,4.03,10.39B,"10,121M"
"Apr24,2017",03/2017,4.01,4.08,10.65B,"10,542M"
"Feb02,2017",12/2016,3.76,3.68,10.19B,"10,042M"
"Oct25,2016",09/2016,4.33,3.75,10.27B,"9,692M"
"Jul21,2016",06/2016,4.50,3.94,16.36B,"10,647M"
