Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct18,2023",09/2023,--,1.68,--,7.33B
"Jul18,2023",06/2023,1.33,1.59,7.15B,7.1B
"Apr21,2023",03/2023,1.23,1.4,7.01B,7.01B
"Jan31,2023",12/2022,1.29,1.09,7.45B,7.34B
"Oct20,2022",09/2022,1.44,1.66,7.08B,6.87B
"Jul19,2022",06/2022,1.22,1.33,6.82B,6.73B
"Apr21,2022",03/2022,3.6,1.32,6.7B,6.71B
"Feb01,2022",12/2021,1.31,1.3,7.03B,7.02B
"Oct19,2021",09/2021,1.51,1.51,6.64B,6.67B
"Jul14,2021",06/2021,1.65,1.57,6.57B,6.59B
"Apr22,2021",03/2021,1.25,1.35,6.55B,6.5B
"Feb02,2021",12/2020,6.46,1.34,6.88B,7.06B
"Oct20,2020",09/2020,1.68,1.5,6.64B,6.67B
"Jul15,2020",06/2020,1.24,1.2,6.65B,6.44B
"Apr21,2020",03/2020,1.71,1.32,6.7B,6.69B
"Feb03,2020",12/2019,1.15,1.56,7.27B,7.3B
"Oct17,2019",09/2019,1.42,1.47,6.85B,6.8B
"Jul17,2019",06/2019,0.15,1.27,6.79B,7.15B
"Apr24,2019",03/2019,1.11,1.08,7.22B,7.35B
"Feb16,2019",12/2018,-0.84,0.65,7.12B,7.37B
"Oct18,2018",09/2018,1.28,1.53,6.54B,6.47B
"Jul18,2018",06/2018,1.26,1.14,6.49B,6.32B
"Apr23,2018",03/2018,1.16,1.21,6.22B,6.12B
"Feb02,2018",12/2017,-1.73,0.91,6.64B,"6,956M"
"Oct19,2017",09/2017,1.01,1.00,7.54B,"7,719M"
"Jul19,2017",06/2017,0.59,0.77,7.99B,"7,881M"
"Apr28,2017",03/2017,0.88,0.72,7.88B,"7,661M"
"Jan26,2017",12/2016,-0.18,0.46,8.22B,"7,809M"
"Oct20,2016",09/2016,0.8046,0.63,6.96B,"6,875M"
"Jul21,2016",06/2016,0.29,0.45,6.67B,"6,574M"
