Release Date,Period End,EPS,EPS Forecast,Revenue,Revenue Forecast
"Oct19,2023",09/2023,--,0.4406,--,22.99B
"Jul19,2023",06/2023,0.19,0.3759,23.3B,23.03B
"Apr26,2023",03/2023,0.15,0.2905,23.07B,22.38B
"Jan26,2023",12/2022,-4.78,0.3544,24.26B,24.29B
"Oct21,2022",09/2022,0.42,0.5049,22.46B,22.12B
"Jul21,2022",06/2022,0.37,0.3976,22.29B,22.21B
"Apr27,2022",03/2022,0.23,0.3173,21.82B,21.52B
"Jan28,2022",12/2021,0.3077,0.3376,23.38B,22.7B
"Oct21,2021",09/2021,0.39,0.4424,21.27B,20.8B
"Jul21,2021",06/2021,0.42,0.474,21.88B,21.61B
"Apr23,2021",03/2021,0.24,0.3652,21.81B,21.68B
"Feb15,2021",12/2020,0.3076,0.3569,23.46B,23.07B
"Jan29,2021",09/2020,0.51,0.6004,21.53B,21.54B
"Jul16,2020",06/2020,-0.5,0.4,21.77B,21.52B
"Apr22,2020",03/2020,0.3186,0.49,22.43B,22.24B
"Jan29,2020",12/2019,0.32,0.6,22.84B,22.73B
"Oct17,2019",09/2019,0.58,0.68,21.18B,21.59B
"Jul18,2019",06/2019,0.38,0.61,21.27B,21.76B
"Apr25,2019",03/2019,0.47,0.59,20.85B,21.08B
"Jan25,2019",12/2018,0.42,0.72,22.21B,22.43B
"Oct18,2018",09/2018,0.6,0.69,20.69B,20.25B
"Jul20,2018",06/2018,0.61,0.64,20.81B,20.31B
"Apr20,2018",03/2018,0.53,0.59,19.85B,19.47B
"Jan26,2018",12/2017,0.8887,0.73,21.19B,"20,964M"
"Oct19,2017",09/2017,0.6903,0.60,19.63B,"19,663M"
"Jul20,2017",06/2017,0.6067,0.61,19.8B,"19,671M"
"Apr28,2017",12/2016,0.67,0.79,21.13B,"20,835M"
"Apr26,2017",03/2017,0.5891,0.68,19.25B,"18,773M"
"Oct21,2016",09/2016,0.82,0.81,21.52B,"21,499M"
"Jul20,2016",06/2016,0.41,0.76,21.13B,"21,127M"
