date,beds,psf,area,price
2023-09-01,3,5.05,950,4800
2023-09-01,0,7.78,450,3500
2023-09-01,1,4.24,850,3600
2023-08-01,2,5.6,750,4100
2023-08-01,3,4.7,950,4300
2023-08-01,3,3.83,950,3500
2023-08-01,2,4.64,750,3400
2023-08-01,0,6.67,450,3000
2023-08-01,2,5.46,750,4000
2023-08-01,2,5.19,750,3800
2023-08-01,1,6.16,450,3050
2023-07-01,1,6.67,450,3300
2023-07-01,3,5.57,950,5100
2023-06-01,2,3.69,1050,3850
2023-06-01,1,6.46,450,3200
2023-06-01,3,4.7,950,4300
2023-06-01,2,3.79,850,3100
2023-06-01,2,3.26,1250,4100
2023-05-01,2,5.19,750,3800
2023-05-01,2,5.33,750,3900
2023-05-01,1,6.06,450,3000
2023-04-01,1,6.46,450,3200
2023-04-01,1,5.86,450,2900
2023-04-01,3,3.5,1550,5500
2023-04-01,2,2.63,850,2150
2023-04-01,1,6.46,450,3200
2023-04-01,2,5.74,750,4200
2023-03-01,3,2.66,1750,4700
2023-03-01,3,5.14,950,4700
2023-03-01,1,6.26,450,3100
2023-02-01,3,4.15,950,3800
2023-02-01,1,5.66,450,2800
2023-02-01,3,5.46,950,5000
2023-02-01,3,4.59,950,4200
2023-02-01,1,6.67,450,3300
2023-01-01,2,5.26,850,4300
2023-01-01,1,7.47,450,3700
2023-01-01,2,5.46,750,4000
2023-01-01,2,4.51,750,3300
2023-01-01,2,4.65,850,3800
2023-01-01,1,4.85,450,2400
2023-01-01,1,6.26,450,3100
2023-01-01,3,5.46,950,5000
2022-12-01,1,6.46,450,3200
2022-12-01,1,5.45,450,2700
2022-11-01,2,4.78,750,3500
2022-11-01,2,3.83,750,2800
2022-11-01,2,4.64,750,3400
2022-11-01,2,2.44,850,2000
2022-11-01,1,5.25,450,2600
2022-10-01,2,3.83,750,2800
2022-10-01,3,2.73,950,2500
2022-09-01,1,6.06,450,3000
2022-09-01,3,4.26,950,3900
2022-09-01,2,4.71,750,3450
2022-09-01,1,4.53,850,3900
2022-09-01,1,5.05,450,2500
2022-09-01,1,5.05,450,2500
2022-08-01,2,4.1,750,3000
2022-08-01,3,4.04,950,3700
2022-08-01,1,5.25,450,2600
2022-08-01,2,4.92,750,3600
2022-08-01,3,3.29,1750,5800
2022-08-01,2,4.65,850,3800
2022-08-01,1,5.05,450,2500
2022-07-01,2,3.06,850,2500
2022-07-01,1,5.66,450,2800
2022-06-01,1,6.87,450,3400
2022-06-01,1,5.45,450,2700
2022-06-01,1,5.45,450,2700
2022-06-01,3,3.72,950,3400
2022-05-01,1,4.55,450,2250
2022-05-01,2,3.48,850,2850
2022-05-01,1,4.85,450,2400
2022-04-01,1,4.24,450,2100
2022-04-01,1,5.45,450,2700
2022-04-01,2,3.83,750,2800
2022-04-01,2,3.96,750,2900
2022-04-01,1,5.05,450,2500
2022-04-01,2,3.83,750,2800
2022-04-01,1,4.24,450,2100
2022-03-01,1,3.48,850,3000
2022-03-01,2,3.1,1250,3900
2022-03-01,3,3.72,950,3400
2022-03-01,2,3.67,850,3000
2022-02-01,1,4.04,450,2000
2022-02-01,3,3.72,950,3400
2022-02-01,1,4.24,450,2100
2022-01-01,1,5.25,450,2600
2022-01-01,1,4.65,450,2300
2022-01-01,2,3.96,750,2900
2022-01-01,1,4.24,450,2100
2022-01-01,1,4.65,450,2300
2022-01-01,2,3.48,850,2850
2021-12-01,1,3.94,450,1950
2021-11-01,2,3.3,850,2700
2021-11-01,2,3.48,850,2850
2021-11-01,2,4.03,750,2950
2021-11-01,1,4.24,450,2100
2021-11-01,1,4.77,450,2360
2021-11-01,2,2.32,850,1900
2021-11-01,2,3.55,750,2600
2021-11-01,2,3.74,1050,3900
