date,beds,psf,area,price
2023-09-01,3,4.19,1050,4400
2023-08-01,3,4.94,1050,5000
2023-07-01,3,4.84,1050,4900
2023-06-01,3,5.93,1050,6000
2023-05-01,3,4.84,1050,4900
2023-05-01,3,5.24,1050,5300
2023-04-01,3,5.43,1050,5500
2023-03-01,3,4.45,1050,4500
2022-12-01,3,4.15,1050,4200
2022-11-01,3,3.52,1050,3600
2022-07-01,3,3.85,1050,3900
2022-06-01,3,3.56,1050,3600
2022-06-01,3,5.29,1050,5350
2022-05-01,3,4.05,1050,4100
2022-02-01,3,3.85,1050,3900
2021-11-01,3,3.03,1050,3100
2021-08-01,3,3.46,1050,3500
2021-07-01,3,3.56,1050,3600
2021-05-01,3,3.46,1050,3500
2021-04-01,3,3.46,1050,3500
2021-02-01,3,3.06,1050,3100
2020-12-01,3,2.93,1050,3000
2020-11-01,3,2.96,1050,3000
2020-09-01,3,2.72,1050,2750
2020-08-01,3,3.26,1050,3300
2020-08-01,3,3.16,1050,3200
2020-07-01,3,3.16,1050,3200
2020-04-01,3,3.31,1050,3350
2020-03-01,3,3.11,1050,3150
2019-10-01,3,3.43,1050,3600
2019-09-01,3,3.05,1050,3200
2019-08-01,3,3.2,1050,3200
2019-08-01,3,3.26,1050,3300
2019-07-01,3,2.87,1050,2900
2019-07-01,3,3.16,1050,3200
2019-05-01,3,3.17,1050,3200
2019-03-01,3,3.13,1050,3200
2019-02-01,3,2.95,1050,3100
2018-11-01,3,3.16,1050,3200
2018-10-01,3,3.31,1050,3350
2018-09-01,3,3.3,1050,3300
2018-07-01,3,3.23,1050,3300
2018-07-01,3,2.76,1050,2900
2018-05-01,3,3.26,1050,3300
2018-05-01,3,3.14,1050,3300
2018-04-01,3,3.31,1050,3350
2018-03-01,3,3.13,1050,3200
2017-10-01,3,2.95,1050,3100
2017-09-01,3,1.89,1850,3500
2017-07-01,3,3.36,1050,3400
2017-07-01,3,3.05,1050,3200
2017-04-01,3,2.96,1050,3000
2017-04-01,3,3.05,1050,3050
2017-03-01,3,3.03,1050,3100
2017-02-01,3,2.87,1050,2900
2017-02-01,3,3.16,1050,3200
2016-09-01,3,3.36,1050,3400
2016-08-01,3,3.16,1050,3200
2016-07-01,3,3.3,1050,3300
2016-07-01,3,2.48,1050,2600
2016-05-01,3,3.46,1050,3500
2016-05-01,3,2.86,1050,3000
2016-04-01,3,3.51,1050,3550
2016-03-01,3,2.94,1050,3000
2016-03-01,3,3.14,1050,3300
2016-02-01,3,3.46,1050,3500
2015-11-01,3,3.05,1050,3200
2015-10-01,3,3.66,1050,3700
2015-09-01,3,2.16,1850,4000
2015-06-01,3,3.42,1050,3500
2015-02-01,3,3.46,1050,3500
2015-02-01,3,3.5,1050,3500
2015-01-01,3,3.61,1050,3650
2014-09-01,3,3.8,1050,3800
2014-05-01,3,3.75,1050,3800
2014-05-01,3,3.24,1050,3400
2014-04-01,3,3.75,1050,3800
2013-12-01,3,3.75,1050,3800
2013-11-01,3,4.0,1050,4200
2013-10-01,3,3.46,1050,3500
2013-10-01,3,3.81,1050,4000
2013-09-01,3,3.95,1050,4000
2013-07-01,3,3.66,1050,3700
2013-05-01,3,3.81,1050,3900
2012-12-01,3,3.33,1050,3500
2012-11-01,3,3.46,1050,3500
2012-11-01,3,3.8,1050,3800
2012-11-01,3,3.71,1050,3900
2012-10-01,3,3.96,1050,4000
2012-08-01,3,3.5,1050,3500
2012-04-01,3,3.56,1050,3600
