date,block,beds,psf,area,price
2022-11-01,8,3,1471,1808,2660000
2022-01-01,8,3,1561,1012,1580000
2021-04-01,8,3,1512,1012,1530000
2021-03-01,8,3,1496,1023,1530000
2020-10-01,8,3,1482,1012,1500000
2020-07-01,8,3,1271,1023,1300000
2020-03-01,8,3,1354,1012,1370000
2019-11-01,8,3,1384,1011,1399000
2019-09-01,8,3,940,1809,1700000
2019-09-01,8,3,1336,1022,1365000
2019-06-01,8,3,1364,1012,1380000
2018-11-01,8,3,1383,1012,1400000
2018-05-01,8,3,1372,1012,1388000
2018-04-01,8,3,1013,1777,1800000
2018-02-01,8,3,1021,1734,1770000
2017-06-01,8,3,1271,1023,1300000
2017-05-01,8,3,1285,1012,1300000
2017-03-01,8,3,1271,1023,1300000
2017-03-01,8,3,1087,1012,1100000
2015-12-01,8,3,1344,1012,1360000
2013-07-01,8,3,1334,1012,1350000
2013-07-01,8,3,1334,1012,1350000
2013-05-01,8,3,1312,1001,1313000
2013-05-01,8,3,1297,1012,1313000
2012-01-01,8,3,1186,1012,1200000
2012-01-01,8,3,1186,1012,1200000
2012-01-01,8,3,1186,1012,1200000
2011-06-01,8,3,1174,1022,1200000
2011-06-01,8,3,1174,1022,1200000
2011-06-01,8,3,1174,1022,1200000
2011-06-01,8,3,1095,1023,1120000
2011-06-01,8,3,1095,1023,1120000
2011-06-01,8,3,1095,1023,1120000
2010-07-01,8,3,983,1012,995000
2010-07-01,8,3,983,1012,995000
2010-07-01,8,3,983,1012,995000
2010-04-01,8,3,914,1012,925000
2010-04-01,8,3,914,1012,925000
2010-04-01,8,3,914,1012,925000
2010-03-01,8,3,914,1012,925000
2010-03-01,8,3,914,1012,925000
2010-03-01,8,3,914,1012,925000
2009-08-01,8,3,840,1012,850000
2009-08-01,8,3,840,1012,850000
2009-08-01,8,3,840,1012,850000
2009-07-01,8,3,700,1765,1236000
2009-07-01,8,3,700,1765,1236000
2009-07-01,8,3,700,1765,1236000
2008-11-01,8,3,738,1023,755000
2008-11-01,8,3,738,1023,755000
2008-11-01,8,3,738,1023,755000
2008-09-01,8,3,796,1011,805000
2008-09-01,8,3,796,1011,805000
2008-09-01,8,3,796,1011,805000
2008-08-01,8,3,771,1012,780000
2008-08-01,8,3,771,1012,780000
2008-08-01,8,3,771,1012,780000
2008-08-01,8,3,835,1012,845000
2008-08-01,8,3,844,1001,845000
2008-08-01,8,3,844,1001,845000
2008-07-01,8,3,810,1022,828000
2008-07-01,8,3,810,1022,828000
2008-07-01,8,3,810,1022,828000
2008-06-01,8,3,771,1012,780000
2008-06-01,8,3,779,1001,780000
2008-06-01,8,3,779,1001,780000
2008-05-01,8,3,810,1012,820000
2008-05-01,8,3,810,1012,820000
2008-05-01,8,3,810,1012,820000
2007-07-01,8,3,766,1012,775000
2007-07-01,8,3,766,1012,775000
2007-07-01,8,3,766,1012,775000
2007-03-01,8,3,626,1022,640000
2007-01-01,8,3,503,1723,866500
2006-12-01,8,3,489,1755,858000
2006-11-01,8,3,613,1011,620000
2006-11-01,8,3,621,1011,628000
2006-11-01,8,3,608,1012,615000
2006-11-01,8,3,613,1011,620000
2006-11-01,8,3,608,1012,615000
2006-11-01,8,3,608,1012,615000
2006-11-01,8,3,606,1012,613478
2006-11-01,8,3,664,1002,665000
2006-11-01,8,3,612,1001,612888
2006-11-01,8,3,603,1012,610000
2006-11-01,8,3,603,1012,610000
2006-11-01,8,3,603,1012,610000
2006-11-01,8,3,599,1012,606000
2006-11-01,8,3,599,1012,606000
2006-11-01,8,3,599,1012,606000
2006-11-01,8,3,675,1022,689793
2006-11-01,8,3,644,1001,644877
2006-11-01,8,3,598,1012,605000
2006-11-01,8,3,592,1012,599000
2006-11-01,8,3,592,1011,599000
2006-11-01,8,3,592,1011,599000
2006-11-01,8,3,592,1012,599000
2006-11-01,8,3,623,1011,630000
2006-11-01,8,3,608,1023,622000
2006-11-01,8,3,583,1012,590000
2006-11-01,8,3,645,1023,660000
2006-10-01,8,3,483,1766,853000
2006-10-01,8,3,623,1011,630000
2006-10-01,8,3,678,1001,679000
2006-09-01,8,3,633,1011,640000
2006-08-01,8,3,663,1002,664100
2006-07-01,8,3,473,1797,850000
2006-07-01,8,3,673,1011,680578
2006-07-01,8,3,672,1022,687000
2006-07-01,8,3,686,1001,686888
2006-06-01,8,3,672,1012,680000
2006-06-01,8,3,674,1023,689282
2006-06-01,8,3,668,1012,676061
2006-06-01,8,3,658,1002,659000
2006-06-01,8,3,666,1022,680805
2006-06-01,8,3,666,1022,680805
2006-06-01,8,3,666,1022,680805
2006-06-01,8,3,643,1023,658000
2006-06-01,8,0,660,1000,660237
2006-06-01,8,3,676,1001,676700
2006-06-01,8,3,679,1001,680000
2006-05-01,8,3,663,1023,678000
2006-05-01,8,3,665,1001,665332
2006-05-01,8,3,669,1023,684187
2006-05-01,8,3,654,1023,668903
2006-05-01,8,3,683,1012,691345
2006-05-01,8,3,711,1012,719463
2006-05-01,8,3,678,1012,686215
2005-08-01,8,3,561,1346,755000
2005-07-01,8,3,571,1313,750000
2005-07-01,8,3,547,1389,760000
2005-07-01,8,3,547,1389,760000
2005-07-01,8,3,547,1389,760000
2005-07-01,8,3,547,1389,760000
2005-07-01,8,3,571,1313,750000
1995-09-01,8,3,503,1388,698000
