date,block,beds,psf,area,price
2023-09-01,85,2,1604,904,1450000
2023-09-01,83,2,1571,1012,1590000
2023-07-01,85,2,1582,904,1430000
2023-05-01,83,1,1723,452,778888
2023-05-01,85,2,1510,904,1365000
2023-04-01,85,1,1730,474,820000
2023-03-01,85,2,1460,904,1320000
2023-02-01,85,2,1412,850,1200000
2023-01-01,85,2,1388,850,1180000
2022-12-01,85,1,1459,527,768888
2022-08-01,83,2,1403,904,1268000
2022-08-01,85,2,1416,904,1280000
2022-07-01,85,3,1528,1281,1958000
2022-07-01,85,2,1416,904,1280000
2022-07-01,85,1,1572,474,745000
2022-06-01,85,1,1536,474,728000
2022-06-01,85,2,1282,850,1090000
2022-06-01,85,2,1388,850,1180000
2022-05-01,85,2,1447,850,1230000
2022-05-01,83,1,1540,485,747000
2022-04-01,85,3,1527,1238,1890000
2022-03-01,83,1,1433,506,725000
2022-02-01,85,3,1414,1238,1750000
2022-01-01,85,2,1398,851,1190000
2021-12-01,85,3,888,1711,1520000
2021-12-01,85,1,1544,528,815000
2021-12-01,85,1,1412,549,775000
2021-12-01,85,2,1318,850,1120000
2021-11-01,83,2,1155,1098,1268000
2021-11-01,85,1,1587,484,768000
2021-10-01,83,3,980,2142,2100000
2021-10-01,83,2,1327,904,1200000
2021-09-01,83,3,866,1755,1520000
2021-09-01,85,2,1305,904,1180000
2021-08-01,85,2,1294,850,1100000
2021-07-01,83,2,1310,893,1170000
2021-05-01,85,2,1271,850,1080000
2021-03-01,83,2,1196,1237,1480000
2021-02-01,85,1,1435,474,680000
2021-01-01,83,2,1230,894,1100000
2021-01-01,85,3,1304,1281,1670000
2020-12-01,85,2,1256,904,1135000
2020-09-01,85,3,1296,1238,1604000
2020-09-01,85,2,1471,850,1250000
2020-08-01,83,2,1255,1012,1270000
2020-07-01,85,2,1283,904,1160000
2020-07-01,85,3,887,1776,1575000
2020-02-01,85,2,1276,925,1180000
2020-02-01,85,2,1365,850,1160000
2019-12-01,85,2,1217,904,1100000
2019-11-01,83,2,1209,850,1028000
2019-01-01,85,2,1293,1237,1600000
2019-01-01,83,1,1538,474,729000
2018-12-01,83,2,1327,904,1200000
2018-11-01,85,2,1441,850,1225000
2018-10-01,85,3,1171,1281,1500000
2018-09-01,85,1,1487,528,785000
2018-08-01,83,1,1577,452,713000
2018-08-01,85,3,1187,1281,1520000
2018-07-01,85,1,1624,474,770000
2018-04-01,83,2,1341,850,1140000
2018-04-01,85,2,1338,904,1210000
2018-03-01,83,2,1339,893,1196000
2018-02-01,85,2,1341,850,1140000
2017-12-01,85,1,1442,527,760000
2017-12-01,83,3,824,1766,1455000
2017-11-01,85,3,1218,1281,1560000
2017-11-01,83,1,1351,635,857800
2017-09-01,83,2,1314,894,1175000
2017-09-01,85,3,1155,1281,1480000
2017-09-01,83,2,1153,937,1080000
2017-07-01,83,1,1681,452,760000
2017-04-01,85,2,1398,851,1190000
2017-03-01,85,3,1162,1281,1489000
2017-02-01,83,1,1504,452,680000
2016-07-01,85,1,1423,527,750000
2016-05-01,85,3,1249,1281,1600000
2016-05-01,85,1,1446,484,700000
2016-04-01,85,3,1288,1281,1650000
2016-02-01,85,2,1327,904,1200000
2015-09-01,83,2,1333,893,1190000
2015-06-01,85,1,1624,474,770000
2015-04-01,85,2,1449,904,1310000
2015-03-01,85,3,1288,1281,1650000
2015-03-01,85,1,1646,474,780000
2015-02-01,83,3,1365,1238,1690000
2015-02-01,85,2,1372,991,1360000
2015-02-01,83,1,1593,452,720000
2014-12-01,83,3,1373,1238,1700000
2014-12-01,83,1,1554,474,736800
2013-05-01,85,1,1684,474,798000
