date,beds,psf,area,price
2023-09-01,3,2.9,1550,4500
2023-09-01,2,4.0,950,3800
2023-08-01,3,3.12,1150,3600
2023-08-01,2,4.76,950,4300
2023-08-01,2,4.31,950,3900
2023-07-01,3,4.21,1250,5400
2023-07-01,2,3.65,950,3500
2023-07-01,2,3.65,950,3300
2023-07-01,3,4.4,1250,5500
2023-07-01,3,4.32,1250,5400
2023-06-01,3,4.16,1250,5200
2023-06-01,2,4.08,1050,4300
2023-06-01,3,4.34,1150,5000
2023-06-01,3,4.0,1250,5000
2023-06-01,2,3.79,1050,4000
2023-05-01,2,4.15,950,3800
2023-05-01,2,2.99,1050,3150
2023-05-01,2,4.7,950,4250
2023-05-01,4,5.66,1350,7800
2023-05-01,3,3.92,1250,4900
2023-04-01,2,4.76,950,4300
2023-04-01,3,4.64,1250,5800
2023-02-01,2,4.49,950,4300
2023-01-01,3,3.73,1150,4300
2023-01-01,3,4.0,1250,5000
2022-12-01,3,3.45,1550,5200
2022-12-01,2,3.1,1050,3300
2022-12-01,2,3.44,950,3300
2022-12-01,3,3.92,1250,4900
2022-10-01,2,4.37,950,4000
2022-10-01,2,3.32,950,3000
2022-10-01,2,3.41,1050,3600
2022-09-01,3,3.9,1250,4700
2022-09-01,3,4.8,1250,6000
2022-08-01,3,3.61,1250,4500
2022-08-01,2,3.34,950,3200
2022-08-01,3,3.2,1250,4000
2022-08-01,2,3.32,950,3000
2022-07-01,3,3.05,1650,5000
2022-07-01,3,3.32,1250,4000
2022-07-01,3,4.15,1250,5000
2022-07-01,2,2.65,1050,2800
2022-07-01,2,2.92,950,2800
2022-07-01,4,3.85,1350,5300
2022-07-01,3,3.52,1250,4500
2022-07-01,3,3.21,1150,3700
2022-07-01,2,3.98,1050,4200
2022-06-01,2,3.03,1050,3200
2022-06-01,2,3.87,950,3500
2022-06-01,2,3.6,1050,3800
2022-06-01,3,3.78,1150,4350
2022-05-01,3,3.17,1250,4100
2022-03-01,2,3.02,950,2900
2022-03-01,3,3.65,1150,4200
2022-03-01,3,2.73,1250,3500
2022-02-01,3,2.56,1250,3200
2022-02-01,3,2.11,1550,3300
2022-02-01,3,2.86,1150,3300
2022-01-01,3,2.58,1250,3300
2022-01-01,4,3.34,1350,4600
2022-01-01,3,2.72,1250,3400
2022-01-01,3,2.88,1250,3600
2022-01-01,2,3.13,1050,3300
2022-01-01,3,2.64,1250,3300
2021-12-01,3,2.84,1250,3550
2021-11-01,3,2.65,1550,4000
