date,beds,psf,area,price
2022-06-01,0,3.26,1150,3900
2022-05-01,0,2.85,1150,3400
2022-01-01,0,3.18,1150,3800
2021-10-01,0,2.55,1150,3050
2021-05-01,0,2.68,1150,3200
2020-12-01,0,2.68,1150,3200
2020-10-01,0,2.44,1950,4800
2020-06-01,0,2.93,1150,3500
2020-06-01,0,2.93,1150,3500
2019-10-01,0,2.44,1950,4800
2019-10-01,0,2.65,1150,3050
2019-05-01,0,2.78,1150,3200
2019-02-01,0,2.87,1150,3300
2018-12-01,0,2.68,1150,3200
2018-03-01,0,2.61,1150,3000
2017-10-01,0,2.65,1150,3050
2017-09-01,0,2.61,1150,3000
2017-02-01,0,2.58,1150,3000
2017-01-01,0,2.96,1150,3400
2016-09-01,0,2.61,1150,3000
2015-09-01,0,3.1,1150,3600
2015-01-01,0,3.01,1150,3600
2014-04-01,0,3.43,1150,4100
2014-01-01,0,3.3,1150,3800
2013-09-01,0,3.44,1150,4000
2013-09-01,0,3.44,1150,4000
2013-08-01,0,3.74,1150,4300
2013-04-01,0,3.39,1150,3900
2012-04-01,0,3.1,1150,3700
2012-01-01,0,3.53,1150,4100
