date,block,beds,psf,area,price
2022-06-01,2,0,1256,1162,1460000
2018-12-01,2,0,1155,1195,1380000
2018-07-01,2,0,1238,1195,1480000
2018-05-01,2,0,1161,1163,1350000
2018-01-01,2,0,1176,1195,1405000
2017-11-01,2,0,1161,1163,1350000
2017-02-01,2,0,967,1861,1800000
2015-11-01,2,0,1170,1162,1360000
2015-05-01,2,0,1130,1195,1350000
2011-07-01,2,0,1203,1195,1438000
2011-07-01,2,0,1204,1194,1438000
2011-07-01,2,0,1203,1195,1438000
2011-06-01,2,0,1032,1163,1200000
2011-06-01,2,0,1067,1195,1275000
2011-06-01,2,0,1067,1195,1275000
2011-06-01,2,0,1067,1195,1275000
2011-05-01,2,0,1054,1195,1260000
2011-05-01,2,0,1046,1195,1250000
2010-05-01,2,0,915,1163,1064000
2010-03-01,2,0,900,1163,1047000
2009-11-01,2,0,870,1195,1040000
2009-08-01,2,0,850,1163,988550
2009-07-01,2,0,840,1195,1004000
2009-07-01,2,0,820,1195,979900
2009-07-01,2,0,808,1162,939000
2009-06-01,2,0,801,1162,931000
2007-07-01,2,0,808,3846,3108000
