date,beds,psf,area,price
2023-09-01,1,5.09,550,2800
2023-09-01,3,5.43,1050,5700
2023-09-01,1,6.15,650,4000
2023-08-01,2,6.24,650,4100
2023-08-01,1,6.83,550,3600
2023-08-01,2,6.09,650,4000
2023-08-01,3,5.21,1050,5500
2023-08-01,3,3.71,1050,3900
2023-08-01,3,4.93,1050,5200
2023-08-01,3,5.22,950,5000
2023-08-01,3,3.34,1250,4200
2023-07-01,3,3.44,1750,6150
2023-07-01,3,5.22,950,5000
2023-07-01,1,6.45,550,3400
2023-07-01,1,6.07,550,3200
2023-07-01,2,5.94,650,3900
2023-07-01,3,5.1,850,4500
2023-06-01,2,6.1,650,4000
2023-06-01,2,6.39,650,4200
2023-06-01,1,5.69,550,3000
2023-06-01,1,5.69,550,3000
2023-06-01,3,5.89,850,5200
2023-06-01,3,3.26,1250,4100
2023-05-01,1,6.07,550,3200
2023-05-01,1,6.07,550,3200
2023-05-01,3,4.74,1050,5000
2023-05-01,2,6.39,650,4200
2023-05-01,3,4.74,1050,5000
2023-04-01,1,6.45,550,3400
2023-04-01,3,6.12,850,5400
2023-04-01,3,5.21,1050,5500
2023-03-01,1,6.26,550,3300
2023-02-01,2,6.17,650,4250
2023-02-01,1,6.45,550,3400
2023-02-01,3,4.3,850,3800
2023-02-01,3,5.88,1050,6200
2023-02-01,3,5.11,950,4900
2023-02-01,1,4.74,550,2500
2023-02-01,3,6.45,1050,6800
2023-02-01,1,6.64,550,3500
2023-02-01,2,4.87,650,3200
2023-01-01,3,5.02,1050,5400
2023-01-01,1,5.31,550,2800
2022-12-01,1,5.88,550,3350
2022-12-01,3,4.69,1050,4900
2022-12-01,3,5.9,850,5200
2022-12-01,3,5.44,850,4800
2022-12-01,1,7.4,550,3900
2022-12-01,2,6.1,650,4005
2022-12-01,3,4.36,1750,7800
2022-12-01,1,5.31,550,2800
2022-11-01,1,5.68,550,3000
2022-11-01,2,6.15,750,4500
2022-11-01,1,5.79,550,3300
2022-11-01,2,5.63,650,3700
2022-11-01,1,6.17,550,3250
2022-10-01,3,4.7,1050,4700
2022-10-01,1,5.22,550,2750
2022-10-01,2,6.09,650,4000
2022-10-01,3,3.26,1250,4100
2022-10-01,2,6.09,650,4000
2022-10-01,2,6.39,650,4200
2022-09-01,2,4.78,750,3400
2022-09-01,1,5.5,550,2900
2022-09-01,3,5.94,1050,6200
2022-09-01,3,6.26,1050,6600
2022-09-01,3,3.91,1450,5600
2022-09-01,1,4.46,550,2350
2022-09-01,2,4.87,650,3200
2022-09-01,2,6.09,650,4000
2022-08-01,2,5.56,650,3650
2022-08-01,2,4.89,850,4000
2022-08-01,3,4.18,950,4000
2022-08-01,1,6.64,550,3500
2022-08-01,2,5.33,650,3500
2022-08-01,2,4.41,650,2900
2022-08-01,1,4.36,550,2300
2022-08-01,3,4.08,1050,4300
2022-08-01,2,5.78,650,3800
2022-07-01,2,5.34,650,3500
2022-07-01,2,5.49,650,3600
2022-07-01,3,4.74,1050,5000
2022-07-01,2,4.87,650,3200
2022-07-01,1,5.3,550,2800
2022-07-01,3,3.41,1050,3600
2022-07-01,3,3.96,850,3500
2022-07-01,1,4.93,550,2600
2022-06-01,1,4.93,550,2600
2022-06-01,3,3.74,850,3300
2022-05-01,2,4.06,650,2800
2022-05-01,2,5.18,650,3400
2022-05-01,3,4.19,850,3700
2022-05-01,3,3.77,1350,5200
2022-05-01,2,4.57,650,3000
2022-04-01,2,4.57,650,3000
2022-04-01,3,4.19,1050,4600
2022-04-01,1,4.46,550,2350
2022-04-01,2,4.11,650,2700
2022-04-01,1,4.17,550,2200
2022-04-01,3,4.17,1050,4400
2022-04-01,2,4.57,650,3000
2022-03-01,2,4.08,750,2900
2022-03-01,2,4.73,650,3100
2022-03-01,1,5.12,550,2700
2022-03-01,2,4.41,650,2900
2022-03-01,3,3.24,950,3100
2022-02-01,1,4.73,550,2500
2022-02-01,2,3.96,650,2600
2022-01-01,2,4.41,650,2900
2022-01-01,1,4.39,550,2500
2022-01-01,1,4.46,550,2350
2022-01-01,1,4.93,550,2600
2022-01-01,1,4.27,550,2250
2022-01-01,2,4.11,650,2700
2022-01-01,1,4.36,550,2300
2021-12-01,2,4.26,650,2800
2021-12-01,2,4.42,650,2900
2021-12-01,1,4.46,550,2350
2021-12-01,3,3.29,850,2900
2021-12-01,1,5.12,550,2700
2021-12-01,1,5.31,550,2800
2021-12-01,1,4.17,550,2200
2021-12-01,1,4.36,550,2300
2021-11-01,3,3.74,850,3300
2021-11-01,1,4.36,550,2300
2021-11-01,1,4.55,550,2400
2021-11-01,3,4.08,1050,4300
2021-11-01,1,5.22,550,2750
2021-11-01,2,4.03,750,2950
2021-11-01,1,4.17,550,2200
2021-11-01,3,3.79,1050,4000
2021-11-01,3,2.91,1750,5200
2021-10-01,2,4.41,650,2900
2021-10-01,2,4.26,650,2800
2021-10-01,1,4.36,550,2300
2021-10-01,1,4.36,550,2300
2021-10-01,1,3.98,550,2100
2021-10-01,2,3.96,650,2600
2021-10-01,3,2.62,1250,3300
2021-09-01,1,4.93,550,2600
2021-09-01,3,3.07,1050,3200
2021-09-01,1,4.17,550,2200
2021-09-01,3,2.51,1450,3600
2021-09-01,2,3.81,650,2500
2021-08-01,2,3.67,850,3000
2021-08-01,3,3.55,950,3400
2021-08-01,2,4.5,650,2950
2021-08-01,2,4.41,650,2900
2021-08-01,3,2.46,1250,3100
2021-07-01,3,2.74,1750,4900
2021-07-01,2,4.15,650,2600
2021-07-01,2,4.57,650,3000
2021-07-01,1,4.36,550,2300
2021-07-01,1,4.55,550,2400
2021-07-01,3,3.41,1050,3600
2021-07-01,3,3.44,950,3300
2021-07-01,3,3.85,850,3400
2021-07-01,3,3.6,1050,3800
2021-07-01,1,3.98,550,2100
