date,block,beds,psf,area,price
2023-09-01,1,1,1684,528,888888
2023-08-01,1,3,1640,1055,1730000
2023-07-01,1,3,1259,1787,2250000
2023-06-01,1,3,1594,1098,1750000
2023-04-01,1,3,1362,1432,1950000
2023-04-01,1,3,1730,883,1528000
2023-03-01,1,2,1546,689,1065000
2023-01-01,1,1,1705,528,900000
2022-12-01,1,3,1104,1259,1390000
2022-12-01,1,3,1123,1238,1390000
2022-11-01,1,3,1706,1055,1800000
2022-09-01,1,3,1621,1098,1780000
2022-09-01,1,3,1573,1055,1660000
2022-08-01,1,3,1545,958,1480000
2022-06-01,1,2,1196,1087,1300000
2022-05-01,1,3,1519,1098,1668000
2022-05-01,1,3,1503,1098,1650000
2022-04-01,1,2,1639,786,1288000
2022-03-01,1,1,1660,527,875000
2022-03-01,1,3,1608,958,1540000
2021-11-01,1,3,1188,1582,1880000
2021-10-01,1,2,1651,657,1085000
2021-10-01,1,3,1366,1259,1720000
2021-09-01,1,2,1553,657,1020000
2021-09-01,1,3,1493,958,1430000
2021-08-01,1,2,1475,732,1080000
2021-08-01,1,3,1597,883,1410000
2021-08-01,1,2,1583,657,1040000
2021-08-01,1,3,1409,958,1350000
2021-07-01,1,3,1418,1044,1480000
2021-06-01,1,3,1165,1399,1630000
2021-06-01,1,3,1374,1055,1450000
2021-05-01,1,3,1164,1787,2080000
2021-04-01,1,3,1474,883,1301000
2021-03-01,1,2,1598,657,1050000
2021-02-01,1,3,1284,1324,1700000
2020-12-01,1,1,1404,527,740000
2020-12-01,1,2,1443,818,1180000
2020-12-01,1,3,1231,1259,1550000
2020-11-01,1,3,1322,1044,1380000
2020-11-01,1,3,1204,1518,1828000
2020-10-01,1,3,944,1238,1169000
2020-09-01,1,1,1404,527,740000
2020-06-01,1,1,1398,528,738000
2020-06-01,1,1,1385,527,730000
2020-01-01,1,3,1275,1098,1400000
2019-09-01,1,1,1518,527,800000
2019-01-01,1,3,1541,1077,1660000
2018-10-01,1,3,1498,1055,1580000
2018-09-01,1,1,1622,527,855000
2018-09-01,1,1,1468,528,775000
2018-05-01,1,2,1598,657,1050000
2018-04-01,1,1,1584,527,835000
2017-11-01,1,3,1389,1098,1525000
2017-08-01,1,3,1429,882,1260000
2017-07-01,1,2,1560,657,1025000
2017-06-01,1,3,1058,1786,1890000
2017-04-01,1,3,1068,1787,1908000
2017-02-01,1,3,1092,1788,1952000
2017-01-01,1,3,1064,1786,1901000
2017-01-01,1,3,1147,1787,2050000
2017-01-01,1,3,1141,1786,2038000
2016-12-01,1,3,1157,1787,2068000
2016-11-01,1,3,1097,1787,1960000
2016-10-01,1,3,1097,1786,1959000
2016-09-01,1,3,1069,1787,1911000
2016-07-01,1,3,1371,958,1313000
2016-07-01,1,3,1388,958,1330000
2016-07-01,1,3,1379,958,1321000
2016-07-01,1,3,1399,958,1340000
2016-06-01,1,3,1175,1260,1480000
2016-06-01,1,3,1384,1098,1520000
2016-05-01,1,3,1408,1044,1470000
2016-05-01,1,3,1403,1044,1465000
2016-05-01,1,3,1380,1044,1441000
2016-05-01,1,3,1187,1518,1802000
2016-05-01,1,3,1457,1044,1521000
2016-02-01,1,3,1570,1044,1639000
2015-12-01,1,3,1264,1055,1333000
2015-12-01,1,3,1188,1259,1496000
2015-11-01,1,3,1304,1055,1375000
2015-09-01,1,3,969,1238,1200000
2015-09-01,1,3,966,1227,1185000
2015-09-01,1,3,1264,1098,1388000
2015-09-01,1,3,946,1238,1171000
2015-08-01,1,3,957,1238,1185000
2015-08-01,1,3,1285,1055,1356000
2015-08-01,1,3,1297,1055,1368000
2015-08-01,1,3,1321,1055,1394000
2015-08-01,1,3,1291,1055,1362000
2015-08-01,1,3,1315,1055,1387000
2015-07-01,1,3,1269,1098,1394000
2015-07-01,1,3,935,1259,1178000
2015-07-01,1,3,1307,1055,1379000
2015-06-01,1,3,949,1227,1164000
2015-06-01,1,3,1277,1098,1402000
2015-06-01,1,3,1275,1044,1331000
2015-06-01,1,3,1280,1044,1336000
2015-05-01,1,3,1264,1055,1333000
2015-05-01,1,3,1280,1055,1350000
2015-04-01,1,3,938,1227,1151000
2015-04-01,1,3,937,1249,1170000
2015-01-01,1,3,1308,1055,1380000
2014-12-01,1,3,1318,1076,1418000
2014-08-01,1,3,1551,1044,1620000
2014-08-01,1,3,1586,1044,1656000
2014-05-01,1,3,1517,1055,1600000
2014-05-01,1,1,1535,570,875000
2014-05-01,1,3,1364,1055,1439000
2014-04-01,1,3,1447,958,1386000
2014-03-01,1,3,1453,1098,1595000
2014-02-01,1,1,1645,527,866660
2014-02-01,1,1,1622,527,855000
2014-02-01,1,3,1441,958,1380000
2014-02-01,1,1,1596,528,842574
2014-02-01,1,1,1565,528,826213
2014-01-01,1,1,1620,527,853888
2014-01-01,1,1,1631,528,861414
2013-12-01,1,1,1683,527,886920
2013-11-01,1,1,1606,527,846309
2013-11-01,1,2,1283,732,938815
2013-10-01,1,1,1602,528,845743
2013-10-01,1,1,1556,527,820000
2013-10-01,1,1,1475,527,777260
2013-09-01,1,3,1424,958,1364000
2013-09-01,1,3,1422,958,1362000
2013-09-01,1,1,1581,527,833237
2013-09-01,1,3,1422,958,1362000
2013-08-01,1,1,1656,527,872737
2013-08-01,1,3,1240,1077,1335000
2013-08-01,1,1,1545,527,814135
2013-08-01,1,1,1442,528,761201
2013-08-01,1,1,1539,527,811187
2013-08-01,1,1,1549,528,817748
2013-08-01,1,1,1460,570,832076
2013-08-01,1,3,1313,1518,1993000
2013-07-01,1,3,1409,958,1350000
2013-07-01,1,2,1419,657,932467
2013-07-01,1,1,1608,528,848782
2013-07-01,1,3,1320,1098,1450000
2013-07-01,1,1,1522,527,802037
2013-07-01,1,1,1522,527,802037
2013-07-01,1,3,1604,1044,1674000
2013-06-01,1,1,1573,527,829037
2013-06-01,1,3,1447,958,1387000
2013-06-01,1,3,1418,1098,1557000
2013-06-01,1,3,1162,1399,1626000
2013-06-01,1,1,1476,528,779201
2013-06-01,1,1,1493,528,788201
2013-06-01,1,1,1647,527,868000
2013-06-01,1,1,1647,527,868000
2013-06-01,1,1,1613,527,850037
2013-06-01,1,2,1391,656,912467
2013-06-01,1,3,1126,1421,1600000
2013-06-01,1,2,1592,689,1097000
2013-06-01,1,3,1385,958,1327000
2013-06-01,1,1,1611,527,849000
2013-05-01,1,1,1612,527,849689
2013-05-01,1,2,1205,1087,1310000
2013-05-01,1,1,1580,528,834000
2013-05-01,1,3,1495,883,1320000
2013-05-01,1,1,1567,527,826037
2013-05-01,1,3,1473,1098,1617000
2013-05-01,1,2,1425,657,936467
2013-05-01,1,2,1431,657,940467
2013-05-01,1,3,1511,882,1332000
2013-05-01,1,3,1332,1000,1332000
2013-05-01,1,3,1489,883,1314000
2013-05-01,1,3,1523,883,1345000
2013-05-01,1,3,1511,882,1332000
2013-05-01,1,2,1360,732,995418
2013-05-01,1,3,1502,883,1326000
2013-05-01,1,2,1530,711,1088000
2013-05-01,1,1,1564,528,825689
2013-05-01,1,3,1463,882,1290000
2013-05-01,1,3,1461,883,1290000
2013-05-01,1,2,1464,689,1009000
2013-05-01,1,3,1186,1432,1698000
2013-05-01,1,3,1477,882,1302000
2013-05-01,1,1,1579,527,832037
2013-05-01,1,1,1579,527,832037
2013-05-01,1,1,1539,527,811037
2013-05-01,1,1,1550,527,817037
2013-05-01,1,3,1495,883,1320000
2013-05-01,1,3,1523,883,1344000
2013-05-01,1,2,1385,818,1133000
2013-05-01,1,1,1572,527,828689
2013-05-01,1,2,1438,657,944467
2013-05-01,1,2,1564,689,1078000
2013-05-01,1,2,1507,689,1038000
2013-05-01,1,2,1462,711,1040000
2013-05-01,1,2,1537,689,1059000
2013-05-01,1,2,1399,657,919237
2013-05-01,1,3,1183,1400,1656000
2013-05-01,1,2,1333,656,874326
2013-05-01,1,3,1259,1055,1328000
2013-05-01,1,1,1556,527,820037
2013-05-01,1,1,1583,528,835689
2013-05-01,1,3,1420,882,1252000
2013-05-01,1,2,1528,656,1002000
2013-05-01,1,1,1621,528,855689
2013-05-01,1,1,1621,528,855689
2013-05-01,1,1,1635,527,861689
2013-05-01,1,2,1592,689,1097000
2013-05-01,1,1,1561,527,822689
2013-05-01,1,3,1306,883,1153000
2013-05-01,1,3,1319,883,1165000
2013-05-01,1,3,1398,883,1234000
2013-05-01,1,1,1562,527,823037
2013-05-01,1,1,1559,528,823037
2013-05-01,1,2,1527,657,1003000
2013-05-01,1,1,1601,527,843689
2013-05-01,1,1,1601,527,843689
2013-05-01,1,3,1342,1098,1474000
2013-05-01,1,2,1621,689,1117000
2013-05-01,1,2,1576,700,1103000
2013-05-01,1,2,1390,818,1137000
2013-05-01,1,2,1513,657,994334
2013-05-01,1,2,1513,657,994334
2013-05-01,1,2,1539,657,1011000
2013-05-01,1,2,1193,1087,1297000
2013-05-01,1,3,1166,1583,1846000
2013-05-01,1,3,1170,1324,1550000
2013-05-01,1,2,1509,689,1039000
2013-05-01,1,3,1270,1055,1340000
2013-05-01,1,3,1276,1055,1346000
2013-05-01,1,1,1587,528,837689
2013-05-01,1,3,1482,883,1308000
2013-05-01,1,3,1548,883,1366000
2013-05-01,1,3,1392,1787,2487000
2013-05-01,1,2,1371,657,900467
2013-05-01,1,2,1467,689,1011000
2013-05-01,1,2,1411,657,927237
2013-05-01,1,3,1434,883,1266000
2013-05-01,1,2,1413,657,928467
2013-05-01,1,3,1310,1098,1438000
2013-05-01,1,2,1545,657,1015000
2013-05-01,1,2,1483,657,974335
2013-05-01,1,1,1533,527,808037
2013-05-01,1,2,1489,657,978332
2013-05-01,1,2,1507,657,990331
2013-05-01,1,2,1551,657,1019000
2013-05-01,1,3,1374,883,1213000
2013-05-01,1,2,1550,657,1018000
2013-05-01,1,2,1614,657,1060000
2013-05-01,1,2,1626,657,1068000
2013-05-01,1,2,1568,657,1030000
2013-04-01,1,2,1478,657,971305
2013-04-01,1,3,1442,883,1273000
2013-04-01,1,3,1404,883,1240000
2013-04-01,1,3,1484,882,1308000
2013-04-01,1,3,1482,883,1308000
2013-04-01,1,2,1610,656,1056000
2013-04-01,1,2,1610,656,1056000
2013-04-01,1,3,1497,883,1321000
2013-04-01,1,2,1531,656,1004000
2013-04-01,1,3,1395,1044,1456000
2013-04-01,1,2,1589,657,1044000
2013-04-01,1,2,1589,657,1044000
2013-04-01,1,2,1589,657,1044000
2013-04-01,1,2,1490,657,979237
2013-04-01,1,3,1295,1432,1855000
2013-04-01,1,2,1501,657,986333
2013-04-01,1,3,1463,883,1291000
2013-04-01,1,3,1353,1098,1486000
2013-04-01,1,2,1583,786,1244000
2013-04-01,1,2,1598,656,1048000
2013-04-01,1,1,1597,527,841689
2013-04-01,1,1,1597,527,841689
2013-04-01,1,2,1609,657,1057000
2013-04-01,1,2,1609,657,1057000
2013-04-01,1,2,1461,656,958333
