date,beds,psf,area,price
2023-09-01,2,5.07,850,4200
2023-09-01,1,6.18,550,3400
2023-09-01,2,4.71,850,4000
2023-09-01,2,5.07,750,3800
2023-09-01,2,4.94,850,4200
2023-09-01,2,4.71,850,4000
2023-09-01,2,4.94,850,4200
2023-09-01,2,5.47,750,4100
2023-09-01,3,5.26,950,5000
2023-09-01,2,6.13,750,4600
2023-09-01,3,5.13,1150,5900
2023-09-01,1,6.36,550,3500
2023-09-01,1,6.36,550,3500
2023-09-01,2,4.71,850,4000
2023-08-01,3,4.99,1350,6500
2023-08-01,0,7.02,450,3400
2023-08-01,1,5.62,850,4600
2023-08-01,3,5.95,1350,8000
2023-08-01,1,5.85,550,3400
2023-08-01,1,5.26,850,4300
2023-08-01,1,5.68,550,3300
2023-08-01,1,5.85,550,3400
2023-08-01,1,5.93,850,4850
2023-08-01,1,5.85,550,3400
2023-08-01,1,4.82,550,2800
2023-07-01,2,5.23,850,4500
2023-07-01,2,4.71,850,4000
2023-07-01,1,5.61,550,3200
2023-07-01,3,5.2,1350,7000
2023-07-01,1,6.2,550,3600
2023-07-01,4,4.77,1150,5700
2023-07-01,4,5.27,1150,6300
2023-07-01,1,5.39,950,5100
2023-07-01,3,4.31,1350,5800
2023-07-01,1,6.2,550,3600
2023-07-01,1,6.11,550,3550
2023-06-01,4,4.85,1150,5800
2023-06-01,1,5.5,850,4500
2023-06-01,2,5.6,750,4200
2023-06-01,1,5.68,850,4650
2023-06-01,1,5.68,550,3300
2023-06-01,1,5.63,750,4000
2023-06-01,1,6.37,550,3700
2023-06-01,1,5.26,850,4300
2023-06-01,1,5.44,850,4450
2023-06-01,1,5.16,550,3000
2023-06-01,1,6.54,550,3800
2023-05-01,1,5.51,550,3200
2023-05-01,4,5.44,1150,6500
2023-05-01,0,7.02,450,3400
2023-04-01,0,6.71,450,3250
2023-04-01,1,3.81,650,2300
2023-04-01,1,5.85,550,3400
2023-03-01,4,4.97,1350,6900
2023-03-01,1,4.37,750,3100
2023-03-01,1,5.63,750,4000
2023-03-01,1,6.02,550,3500
2023-03-01,1,5.28,950,5000
2023-03-01,1,5.13,850,4200
2023-02-01,1,7.01,450,3400
2023-02-01,1,5.5,850,4500
2023-02-01,1,5.87,850,4800
2023-02-01,1,4.65,850,3800
2023-02-01,3,4.83,1350,6500
2023-02-01,1,6.2,550,3600
2023-02-01,1,5.85,550,3400
2023-02-01,4,3.35,1150,4000
2023-02-01,1,5.13,850,4200
2023-01-01,1,6.32,550,3200
2023-01-01,1,5.93,550,3000
2023-01-01,2,3.67,850,3000
2023-01-01,1,5.43,550,3100
2023-01-01,1,4.73,550,2700
2023-01-01,1,6.37,550,3700
2023-01-01,4,4.1,1150,4900
2023-01-01,1,4.98,650,3000
2023-01-01,1,4.4,850,3600
2022-12-01,1,5.26,850,4300
2022-12-01,2,5.07,850,4200
2022-12-01,1,6.92,550,3500
2022-12-01,2,5.62,850,4600
2022-12-01,2,4.47,850,3850
2022-12-01,3,5.58,1050,6000
2022-12-01,3,3.87,1350,5200
2022-12-01,1,3.42,850,2800
2022-11-01,2,4.93,750,3500
2022-11-01,1,6.02,550,3500
2022-11-01,2,5.87,850,4800
2022-11-01,1,5.49,950,5200
2022-11-01,1,4.79,750,3400
2022-11-01,4,4.18,1150,5000
2022-11-01,2,3.46,1350,4500
2022-11-01,2,6.33,750,4500
2022-11-01,1,4.65,850,3800
2022-11-01,1,3.42,850,2800
2022-11-01,1,5.68,550,3300
2022-11-01,1,5.2,850,4250
2022-11-01,1,4.65,850,3800
2022-11-01,1,4.93,750,3500
2022-11-01,4,3.77,1150,4500
2022-10-01,2,4.03,850,3600
2022-10-01,2,4.71,750,3500
2022-10-01,1,5.34,550,3100
2022-10-01,0,6.4,450,3100
2022-10-01,1,5.93,550,3000
2022-10-01,2,5.17,850,4400
2022-10-01,2,3.69,1350,4800
2022-10-01,4,3.14,2250,7000
2022-10-01,1,3.81,650,2300
2022-10-01,1,3.79,850,3100
2022-10-01,1,5.26,850,4300
2022-10-01,1,4.58,850,3750
2022-10-01,1,3.97,850,3250
2022-10-01,1,4.4,850,3600
2022-09-01,1,4.89,850,4000
2022-09-01,1,7.11,550,3600
2022-09-01,2,5.55,850,4600
2022-09-01,3,3.98,1150,4500
2022-09-01,1,4.03,550,2300
2022-09-01,2,4.12,850,3500
2022-09-01,1,4.65,550,2700
2022-09-01,1,4.51,750,3200
2022-09-01,1,4.3,550,2500
2022-09-01,1,4.99,550,2900
2022-09-01,1,4.82,550,2800
2022-09-01,1,3.96,550,2300
2022-08-01,1,4.65,850,3800
2022-08-01,2,4.35,850,3700
2022-08-01,1,4.9,550,2800
2022-08-01,2,4.98,750,3700
2022-08-01,1,4.65,550,2700
2022-08-01,1,4.48,550,2600
2022-08-01,3,3.51,2050,7300
2022-08-01,1,6.02,550,3500
2022-08-01,1,4.52,850,3700
2022-08-01,1,3.7,950,3500
2022-07-01,1,4.59,850,4100
2022-07-01,2,4.46,850,3700
2022-07-01,1,4.56,550,2600
2022-07-01,2,4.18,750,3100
2022-07-01,1,3.42,850,2800
2022-07-01,4,3.68,1150,4400
2022-07-01,1,4.3,550,2500
2022-07-01,1,4.48,550,2600
2022-06-01,1,4.58,850,3750
2022-06-01,1,4.38,550,2500
2022-06-01,1,3.89,550,2300
2022-06-01,1,4.35,550,2200
2022-06-01,1,3.97,850,3250
2022-06-01,1,5.34,550,3100
2022-06-01,1,5.85,550,3400
2022-06-01,1,4.89,850,4000
2022-06-01,1,5.35,750,3800
2022-05-01,0,5.37,450,2600
2022-05-01,2,4.0,850,3400
2022-05-01,2,4.07,850,3500
2022-05-01,1,4.91,550,2850
2022-04-01,1,3.32,750,2500
2022-04-01,1,4.31,550,2550
2022-04-01,1,4.28,850,3500
2022-04-01,1,4.74,550,2400
2022-04-01,1,5.46,450,2650
2022-04-01,1,6.39,450,3100
2022-04-01,1,5.16,550,3000
2022-04-01,1,4.03,850,3300
2022-04-01,1,3.67,850,3000
2022-04-01,1,4.3,550,2500
2022-04-01,1,3.42,850,2800
2022-03-01,1,4.74,550,2400
2022-03-01,2,4.11,850,3500
2022-03-01,2,3.67,750,2725
2022-03-01,1,4.74,550,2700
2022-03-01,1,4.65,850,3800
2022-03-01,1,4.28,850,3500
2022-02-01,1,4.3,550,2500
2022-02-01,4,3.6,1350,5000
2022-02-01,1,4.37,750,3100
2022-02-01,1,4.04,550,2350
2022-02-01,4,3.43,1150,4100
2022-01-01,1,4.28,850,3500
2022-01-01,1,4.03,550,2300
2022-01-01,1,4.3,550,2500
2022-01-01,1,5.04,550,2550
2022-01-01,2,3.79,850,3100
2022-01-01,4,3.26,1150,3900
2022-01-01,1,3.87,550,2250
2022-01-01,1,4.3,550,2500
2022-01-01,1,3.96,550,2300
2021-12-01,2,3.67,850,3000
2021-12-01,1,4.31,550,2500
2021-12-01,2,3.95,850,3400
2021-12-01,4,3.96,1350,5500
2021-12-01,1,3.67,850,3000
2021-11-01,1,3.94,550,2250
2021-11-01,4,3.43,1150,4100
2021-11-01,1,4.12,550,2350
2021-11-01,1,3.55,850,2900
2021-11-01,1,3.73,750,2650
2021-11-01,1,3.17,950,3000
2021-11-01,1,3.87,750,2750
2021-11-01,1,4.08,750,2900
2021-10-01,2,3.76,850,3200
2021-10-01,1,3.96,550,2300
2021-10-01,1,4.74,550,2400
2021-10-01,2,3.67,850,3000
2021-10-01,1,4.3,550,2500
2021-10-01,1,4.37,750,3100
2021-10-01,2,4.0,850,3400
2021-10-01,2,3.07,1350,4000
2021-10-01,1,3.52,750,2500
2021-10-01,3,2.97,1350,4000
2021-10-01,1,4.3,550,2500
2021-10-01,1,4.65,750,3300
2021-10-01,1,3.97,850,3250
2021-10-01,1,4.13,550,2400
2021-10-01,1,4.01,750,2850
2021-10-01,0,4.75,450,2300
2021-10-01,1,3.91,850,3200
2021-10-01,1,3.67,850,3000
2021-10-01,1,3.42,850,2800
2021-10-01,1,3.55,850,2900
2021-10-01,1,4.13,550,2400
2021-09-01,2,3.91,750,2900
2021-09-01,1,3.25,850,2900
2021-09-01,1,4.74,450,2300
2021-09-01,2,3.47,850,2950
2021-09-01,2,3.72,850,3200
2021-09-01,1,3.96,550,2300
2021-09-01,2,3.38,850,2800
2021-09-01,2,3.67,850,3000
2021-09-01,1,4.13,550,2400
2021-09-01,1,4.38,550,2500
2021-09-01,2,4.23,1350,5500
2021-09-01,4,3.01,1150,3600
2021-09-01,1,3.8,750,2700
2021-09-01,1,3.79,850,3100
2021-09-01,1,3.96,550,2300
2021-09-01,1,4.01,950,3800
2021-09-01,1,3.96,550,2300
2021-09-01,1,3.94,750,2800
2021-09-01,1,3.42,850,2800
2021-09-01,1,3.61,850,2950
2021-09-01,1,3.8,750,2700
2021-09-01,1,3.42,850,2800
2021-08-01,2,3.76,850,3200
2021-08-01,2,3.13,950,3000
2021-08-01,4,3.01,1150,3600
2021-08-01,2,4.03,850,3300
2021-08-01,2,3.67,850,3000
2021-08-01,1,4.13,550,2400
2021-08-01,1,4.13,550,2400
2021-08-01,1,4.04,550,2350
2021-08-01,1,3.79,550,2200
2021-08-01,1,3.79,850,3100
2021-08-01,1,3.48,850,2850
2021-08-01,1,3.91,850,3200
2021-07-01,3,3.38,1350,4400
2021-07-01,3,3.8,950,3600
2021-07-01,2,3.24,850,2900
2021-07-01,1,4.39,550,2500
2021-07-01,1,4.29,550,2450
2021-07-01,3,3.42,1350,4600
2021-07-01,4,3.35,1150,4000
2021-07-01,1,3.8,750,2700
2021-07-01,3,3.42,1350,4600
2021-06-01,4,3.35,1150,4000
2021-06-01,1,3.72,550,2200
2021-06-01,1,4.74,550,2400
2021-06-01,2,3.63,750,2700
2021-06-01,1,3.67,850,3000
2021-06-01,1,4.55,550,2300
2021-06-01,4,3.85,1150,4600
2021-06-01,2,3.74,850,3100
2021-06-01,3,3.53,1050,3800
2021-06-01,1,3.87,550,2250
2021-06-01,4,3.31,1350,4600
2021-06-01,1,4.04,550,2350
2021-06-01,1,3.44,550,2000
2021-05-01,1,3.55,850,2900
2021-05-01,1,4.2,550,2400
2021-05-01,3,3.53,1050,3800
2021-05-01,1,4.13,550,2400
2021-04-01,2,3.15,1050,3250
2021-04-01,1,3.05,750,2300
2021-04-01,1,4.31,550,2550
2021-04-01,1,4.15,550,2100
2021-04-01,1,4.96,450,2400
2021-04-01,1,4.22,550,2500
2021-04-01,1,3.94,750,2800
2021-04-01,1,3.55,850,2900
2021-04-01,1,3.67,850,3000
2021-03-01,1,4.55,550,2300
2021-03-01,2,3.79,850,3100
2021-03-01,1,3.64,950,3450
2021-03-01,1,3.8,750,2700
2021-03-01,2,4.04,750,3000
2021-03-01,1,4.12,550,2350
2021-03-01,1,3.55,850,2900
2021-03-01,1,4.13,550,2400
2021-03-01,3,2.97,1350,4000
2021-03-01,1,3.79,850,3100
2021-03-01,0,4.65,450,2250
2021-03-01,1,3.67,850,3000
2021-03-01,1,3.7,750,2625
2021-03-01,1,4.04,550,2350
2021-03-01,1,4.13,550,2400
2021-03-01,1,4.13,550,2400
2021-02-01,1,4.12,550,2350
2021-02-01,1,3.94,550,2250
2021-02-01,1,4.22,550,2500
2021-02-01,4,3.03,1350,4200
2021-02-01,2,3.62,850,3000
2021-02-01,4,2.89,1150,3450
2021-02-01,0,4.75,450,2300
2021-02-01,1,3.67,850,3000
