date,block,beds,psf,area,price
2023-09-01,31,1,1783,571,1018000
2023-08-01,37,2,1786,851,1520000
2023-06-01,37,1,1719,570,980000
2023-06-01,31,1,1652,581,960000
2023-05-01,35,2,1858,818,1520000
2023-05-01,31,1,1618,581,940000
2023-04-01,37,1,1640,570,935000
2023-03-01,35,2,1585,958,1518000
2023-03-01,37,1,1614,570,920000
2023-03-01,33,2,1765,861,1520000
2023-03-01,37,1,1558,581,905000
2023-02-01,35,1,1674,484,810000
2023-01-01,31,1,1609,581,935000
2022-11-01,33,2,1834,829,1520000
2022-10-01,37,5,1089,3445,3750000
2022-10-01,33,2,1730,711,1230000
2022-10-01,35,1,1709,506,865000
2022-09-01,31,2,1627,818,1331000
2022-08-01,37,2,1659,850,1410000
2022-08-01,37,1,1583,581,920000
2022-08-01,35,2,1626,818,1330000
2022-07-01,37,1,1592,581,925000
2022-07-01,33,2,1155,1281,1480000
2022-07-01,37,2,1686,851,1435000
2022-06-01,37,1,1585,571,905000
2022-06-01,37,4,1728,1389,2400000
2022-06-01,37,3,1713,1302,2230000
2022-06-01,31,2,1589,818,1300000
2022-06-01,37,1,1585,571,905000
2022-06-01,31,1,1614,570,920000
2022-05-01,35,2,1560,893,1393000
2022-05-01,31,4,1715,1195,2050000
2022-04-01,37,1,1239,872,1080000
2022-04-01,35,1,1669,484,808000
2022-04-01,31,4,1662,1195,1986000
2022-04-01,31,4,1673,1345,2250000
2022-03-01,35,2,1534,893,1370000
2022-03-01,33,2,1628,829,1350000
2022-02-01,37,4,1744,1388,2420000
2022-02-01,35,1,1640,506,830000
2022-01-01,33,2,1598,829,1325000
2021-12-01,31,1,1629,571,930000
2021-12-01,31,4,1600,1194,1910000
2021-12-01,33,2,1662,710,1180000
2021-12-01,35,1,1670,506,845000
2021-11-01,31,1,1540,581,895000
2021-11-01,33,2,1606,710,1140000
2021-10-01,35,1,1542,592,913000
2021-10-01,35,1,1617,506,818000
2021-08-01,33,3,1608,1076,1730000
2021-07-01,33,2,1533,711,1090000
2021-07-01,33,2,1662,710,1180000
2021-07-01,31,1,1594,571,910000
2021-06-01,31,2,1078,1346,1451000
2021-06-01,33,3,1478,947,1400000
2021-05-01,31,2,1019,1551,1580000
2021-05-01,35,2,1349,893,1205000
2021-05-01,33,2,1547,711,1100000
2021-05-01,33,5,1171,3672,4300000
2021-04-01,35,1,1632,484,790000
2021-04-01,33,2,1175,1260,1480000
2021-03-01,31,4,1490,1195,1780000
2021-02-01,31,4,1351,1346,1818000
2021-02-01,31,1,1609,581,935000
2021-01-01,37,2,1598,851,1360000
2021-01-01,31,6,1010,4208,4250000
2021-01-01,33,2,1487,861,1280000
2020-12-01,33,3,1601,1076,1723000
2020-11-01,33,2,1178,1173,1382000
2020-09-01,35,1,1520,592,900000
2020-08-01,33,2,1547,711,1100000
2019-12-01,31,4,1375,1345,1850000
2019-11-01,31,1,1540,581,895000
2019-10-01,35,1,1581,506,800000
2019-10-01,33,2,1452,861,1250000
2019-10-01,31,1,1005,915,920000
2019-08-01,31,4,1300,3154,4100000
2019-08-01,37,6,1294,4250,5500000
2019-08-01,37,2,1451,851,1235000
2019-07-01,37,4,1549,1388,2150000
2019-07-01,31,2,1589,818,1300000
2019-04-01,33,2,1472,829,1220000
2019-03-01,31,2,1473,818,1205000
2019-01-01,35,2,1321,893,1180000
2018-12-01,33,2,1452,818,1188000
2018-11-01,31,1,1558,581,905000
2018-11-01,37,1,1565,570,892000
2018-11-01,33,2,1548,743,1150000
2018-10-01,33,2,1585,710,1125000
2018-08-01,31,2,1479,818,1210000
2018-07-01,33,3,1308,2638,3450000
2018-06-01,37,2,1529,850,1300000
2018-06-01,31,2,1546,818,1265000
2018-06-01,33,2,1510,861,1300000
2018-05-01,37,4,1389,3251,4515000
2018-05-01,31,1,1614,570,920000
2018-05-01,33,2,1510,861,1300000
2018-04-01,35,1,1638,506,828888
2018-03-01,33,2,1448,829,1200000
2018-02-01,33,2,1452,861,1250000
2018-02-01,33,3,1327,1130,1500000
2017-08-01,31,4,1050,2229,2340000
2017-07-01,33,4,1105,2896,3200000
2016-11-01,35,2,1300,1109,1442000
2016-10-01,37,4,1080,2077,2244000
2016-10-01,33,3,1485,1076,1597000
2016-09-01,31,2,1089,1550,1687000
2016-08-01,37,4,1340,1388,1860000
2016-05-01,37,3,1035,2077,2150000
2016-05-01,37,4,1100,2282,2510000
2016-04-01,31,5,1000,3391,3391000
2016-03-01,33,3,1036,1776,1840000
2016-02-01,35,2,1162,1108,1288000
2016-01-01,35,2,1405,818,1149000
2015-10-01,31,4,1227,1528,1875000
2015-08-01,37,5,1074,3445,3700000
2015-08-01,37,3,1443,1303,1880000
2015-05-01,37,4,1210,1388,1680000
2015-04-01,33,3,1299,1130,1468000
2015-03-01,35,2,1363,818,1115000
2014-12-01,37,6,1063,4250,4518000
2014-11-01,37,4,1230,1389,1708000
2014-07-01,37,1,1366,571,780000
2014-07-01,31,2,1152,1345,1550000
2014-03-01,35,1,1575,603,950000
2013-11-01,37,4,1296,1389,1800000
2013-10-01,33,2,1064,1184,1260000
2013-10-01,35,1,1539,592,910950
2013-10-01,33,3,1561,1076,1680000
2013-09-01,31,4,1351,1346,1818000
2013-09-01,35,1,1496,754,1128000
2013-09-01,31,4,1364,1345,1835000
2013-08-01,35,1,1503,592,890000
2013-08-01,37,3,1382,1302,1800000
2013-08-01,37,1,1645,581,956000
2013-08-01,37,1,1645,581,956000
2013-07-01,31,1,1635,570,932000
2013-07-01,33,2,1566,742,1162000
2013-07-01,33,2,1128,1281,1445000
2013-07-01,31,4,1387,1195,1658000
2013-07-01,31,4,1387,1195,1658000
2013-07-01,37,1,1587,581,922000
2013-07-01,31,1,1580,571,902000
2013-07-01,37,3,1417,1302,1846000
2013-07-01,37,3,1416,1303,1846000
2013-07-01,31,4,1404,1345,1889000
2013-07-01,33,2,1082,1033,1118000
2013-07-01,33,2,1505,743,1118000
2013-07-01,31,4,1405,1345,1890000
2013-06-01,35,2,1409,894,1260000
2013-06-01,37,4,1376,1388,1910000
2013-06-01,37,4,1375,1389,1910000
2013-06-01,33,2,1424,850,1210000
2013-06-01,33,2,1459,743,1084000
2013-06-01,31,1,1550,571,885000
