date,beds,psf,area,price
2023-09-01,1,7.11,450,3200
2023-09-01,1,6.67,450,3000
2023-09-01,2,6.4,1250,8000
2023-09-01,1,6.67,450,3000
2023-09-01,3,6.87,1150,7900
2023-09-01,1,6.73,550,3700
2023-09-01,1,6.18,550,3400
2023-09-01,1,5.82,550,3200
2023-09-01,1,8.44,450,3800
2023-09-01,1,7.56,450,3400
2023-09-01,1,7.11,450,3200
2023-09-01,1,6.67,450,3000
2023-09-01,1,6.36,550,3500
2023-09-01,1,7.0,450,3150
2023-09-01,1,7.78,450,3500
2023-09-01,1,7.78,450,3500
2023-09-01,1,7.11,450,3200
2023-09-01,1,7.06,850,6000
2023-08-01,2,6.88,550,4000
2023-08-01,1,7.98,450,3350
2023-08-01,3,6.06,750,4700
2023-08-01,1,7.38,450,3100
2023-08-01,1,7.62,450,3200
2023-08-01,1,7.38,450,3100
2023-08-01,1,8.1,450,3400
2023-08-01,3,5.24,850,4400
2023-08-01,1,7.14,450,3000
2023-08-01,1,8.33,450,3500
2023-08-01,1,7.62,450,3200
2023-08-01,2,6.37,550,3700
2023-08-01,3,6.07,850,5100
2023-08-01,1,8.1,450,3400
2023-08-01,1,8.1,450,3400
2023-08-01,1,7.38,450,3100
2023-07-01,1,8.33,450,3500
2023-07-01,3,6.52,1250,8000
2023-07-01,2,6.88,550,3999
2023-07-01,3,6.25,1150,7400
2023-07-01,1,8.1,450,3400
2023-07-01,2,6.37,550,3700
2023-07-01,3,5.91,1150,7000
2023-07-01,3,5.74,1150,6800
2023-07-01,4,6.15,1450,9000
2023-07-01,1,7.14,450,3000
2023-07-01,3,6.06,750,4700
2023-07-01,3,6.85,1250,8400
2023-07-01,3,5.24,1150,6200
2023-07-01,2,6.02,550,3500
2023-07-01,2,6.37,550,3700
2023-07-01,1,7.38,450,3100
2023-07-01,1,7.86,450,3300
2023-07-01,1,8.1,450,3400
2023-07-01,1,7.86,450,3300
2023-07-01,3,5.95,850,5000
2023-07-01,3,6.06,750,4700
2023-07-01,1,7.86,450,3300
2023-07-01,2,6.37,550,3700
2023-07-01,3,7.14,850,6000
2023-07-01,1,8.33,450,3500
2023-06-01,2,5.76,850,4650
2023-06-01,1,6.8,450,3000
2023-06-01,3,6.06,750,4700
2023-06-01,3,5.95,850,5000
2023-06-01,3,5.71,850,4800
2023-06-01,1,7.38,450,3100
2023-06-01,1,7.14,450,3000
2023-06-01,1,7.14,450,3000
2023-06-01,1,7.62,450,3200
2023-06-01,1,7.38,450,3100
2023-06-01,1,7.38,450,3100
2023-06-01,1,7.62,450,3200
2023-06-01,1,8.0,450,3600
2023-06-01,2,6.88,550,4000
2023-06-01,1,9.05,450,3800
2023-06-01,1,7.62,450,3200
2023-06-01,3,6.19,950,6000
2023-06-01,1,7.62,450,3200
2023-06-01,3,5.36,850,4500
2023-06-01,3,6.17,1150,7300
2023-06-01,3,5.95,850,5000
2023-06-01,1,7.14,450,3000
