date,block,beds,psf,area,price
2023-09-01,4,3,1403,1625,2280000
2023-08-01,8,3,1949,1206,2350000
2023-08-01,10,2,2048,581,1190000
2023-08-01,12,1,1971,420,828000
2023-08-01,12,1,1850,527,975000
2023-08-01,2,3,2043,969,1980000
2023-07-01,12,2,1995,807,1610000
2023-06-01,8,2,1826,1205,2200000
2023-06-01,10,1,1871,441,825000
2023-06-01,2,3,1961,969,1900000
2023-06-01,12,1,2071,420,870000
2023-05-01,12,1,1988,420,835000
2023-04-01,10,2,1931,839,1620000
2023-04-01,12,1,1466,592,868000
2023-02-01,12,1,1988,420,835000
2023-02-01,10,1,1884,441,831000
2023-02-01,12,2,1958,807,1580000
2023-02-01,12,2,1728,753,1301000
2023-01-01,10,3,1964,840,1650000
2022-12-01,12,1,1971,420,828000
2022-12-01,10,2,1891,581,1099000
2022-11-01,12,1,1831,538,985000
2022-11-01,10,2,1893,581,1100000
2022-10-01,10,2,1472,883,1300000
2022-10-01,10,1,1774,527,935000
2022-10-01,10,2,1893,581,1100000
2022-10-01,12,1,1784,538,960000
2022-10-01,12,1,1341,850,1140000
2022-10-01,12,1,1859,538,1000000
2022-10-01,10,3,1891,840,1589000
2022-10-01,10,1,1879,527,990000
2022-09-01,10,1,1746,441,770000
2022-09-01,12,1,1767,420,742000
2022-09-01,8,3,1721,1152,1983000
2022-09-01,12,1,1905,420,800000
2022-09-01,12,1,1881,420,790000
2022-08-01,10,2,1907,839,1600000
2022-07-01,10,1,1814,441,800000
2022-07-01,4,2,1900,829,1575000
2022-06-01,10,1,1889,441,832888
2022-06-01,8,5,1290,3798,4900000
2022-06-01,12,2,1803,753,1358000
2022-06-01,12,1,1869,420,785000
2022-06-01,12,2,1797,807,1450000
2022-05-01,10,3,1794,775,1390000
2022-05-01,10,1,1769,441,780000
2022-05-01,10,1,1825,441,805000
2022-05-01,10,2,1850,581,1075000
2022-05-01,12,1,1794,420,753288
2022-04-01,6,3,1730,1184,2048000
2022-04-01,12,2,1780,754,1342000
2022-04-01,12,1,1693,420,710888
2022-04-01,4,2,1930,829,1600000
2022-04-01,10,2,1971,581,1145000
2022-04-01,12,1,1833,420,770000
2022-04-01,12,1,1810,420,760000
2022-04-01,12,1,1351,851,1150000
2022-03-01,10,2,1751,839,1469000
2022-03-01,10,1,1769,441,780000
2022-03-01,10,1,1741,441,768000
2022-03-01,12,1,1781,420,748000
