date,beds,psf,area,price
2023-09-01,3,5.33,1350,7200
2023-09-01,1,6.0,550,3300
2023-09-01,4,4.8,1250,6000
2023-09-01,3,3.56,1350,4800
2023-09-01,3,3.65,1150,4200
2023-08-01,3,4.35,1350,6000
2023-08-01,3,4.69,1150,5300
2023-08-01,2,5.36,850,4500
2023-08-01,4,3.85,2050,8000
2023-08-01,2,5.24,850,4400
2023-08-01,2,5.36,850,4500
2023-07-01,2,4.76,850,4000
2023-07-01,1,6.87,450,3400
2023-07-01,3,5.31,1150,6000
2023-07-01,2,5.12,850,4300
2023-07-01,1,6.92,550,3500
2023-06-01,1,6.67,450,3300
2023-06-01,1,5.31,750,4000
2023-06-01,1,6.46,450,3200
2023-06-01,1,6.32,550,3200
2023-06-01,1,4.64,750,3500
2023-05-01,1,7.07,450,3500
2023-05-01,1,5.73,550,2900
2023-05-01,2,5.0,850,4200
2023-04-01,3,5.04,1150,5700
2023-03-01,2,4.71,850,4000
2023-03-01,2,5.0,850,4200
2023-03-01,2,4.23,950,4100
2023-02-01,1,5.76,450,2850
2023-01-01,2,5.18,850,4400
2023-01-01,2,5.48,850,4600
2023-01-01,2,5.71,850,4800
2023-01-01,1,6.46,450,3200
2022-12-01,1,7.07,450,3500
2022-12-01,3,5.21,1150,6000
2022-12-01,2,4.94,850,4200
2022-12-01,3,3.72,1150,4200
2022-11-01,2,4.18,850,3600
2022-11-01,2,4.17,850,3500
2022-10-01,2,4.76,850,4000
2022-10-01,2,3.93,850,3300
2022-08-01,2,5.17,850,4400
2022-08-01,3,3.2,1350,4400
2022-08-01,1,6.46,450,3200
2022-08-01,4,2.94,2050,6100
2022-08-01,2,5.24,850,4400
2022-08-01,3,3.45,1150,3900
2022-07-01,2,3.82,850,3250
2022-07-01,2,4.52,850,3800
2022-07-01,2,3.57,850,3000
2022-07-01,2,4.4,850,3700
2022-06-01,1,6.46,450,3200
2022-06-01,1,3.45,750,2600
2022-05-01,1,4.94,550,2500
2022-04-01,1,5.93,550,3000
2022-04-01,3,3.47,1150,4000
2022-04-01,2,3.88,850,3300
2022-04-01,1,5.66,450,2800
2022-03-01,1,3.32,750,2500
2022-02-01,1,4.44,450,2200
2022-02-01,1,5.34,550,2700
2022-02-01,2,3.33,850,2800
2022-02-01,1,4.94,550,2500
2022-01-01,3,3.27,1150,3800
2022-01-01,2,4.0,850,3400
2022-01-01,1,4.74,550,2400
2022-01-01,2,3.41,850,2900
2022-01-01,1,4.65,450,2300
2022-01-01,3,2.92,1150,3300
2021-12-01,2,3.22,1150,3750
2021-12-01,2,3.75,850,3150
2021-11-01,2,3.57,850,3000
2021-11-01,2,3.54,850,3050
2021-11-01,2,4.17,850,3500
2021-10-01,2,3.81,850,3200
2021-10-01,4,3.17,1250,3920
2021-10-01,4,3.17,1250,3920
2021-10-01,2,3.69,850,3100
2021-10-01,1,4.35,550,2200
2021-09-01,4,3.23,1250,4000
