date,block,beds,psf,area,price
2023-09-01,14,1,1597,689,1100000
2023-05-01,8,1,1907,839,1600000
2023-05-01,8,1,1788,839,1500000
2023-03-01,14,3,1810,1130,2045000
2023-03-01,14,3,1504,1130,1700000
2023-01-01,10,2,1505,1163,1750000
2023-01-01,12,3,1681,1130,1900000
2022-12-01,6,1,1636,506,828000
2022-11-01,6,2,1765,840,1483000
2022-10-01,6,1,1592,754,1200000
2022-10-01,6,2,1738,840,1460000
2022-09-01,14,2,1359,979,1330000
2022-09-01,12,2,1550,1076,1668000
2022-09-01,8,2,1655,840,1390000
2022-09-01,12,2,1727,850,1468000
2022-08-01,6,2,1763,840,1481000
2022-08-01,8,3,1580,1152,1820000
2022-07-01,6,4,1680,1238,2080000
2022-06-01,14,3,1619,1130,1830000
2022-06-01,8,1,1788,839,1500000
2022-04-01,6,2,1601,1237,1980000
2022-03-01,6,2,1527,969,1480000
2022-03-01,12,1,1576,495,780000
2022-02-01,8,2,1548,969,1500000
2022-02-01,8,1,1633,839,1370000
2022-02-01,6,2,1560,840,1310000
2021-12-01,6,2,1607,840,1350000
2021-11-01,8,3,1589,1152,1830000
2021-11-01,8,2,1440,840,1210000
2021-10-01,6,1,1571,506,795000
2021-10-01,6,4,1501,1238,1858000
2021-10-01,6,2,1496,1237,1850000
2021-10-01,6,4,1519,1238,1880000
2021-10-01,14,3,1476,1130,1668000
2021-09-01,6,4,1502,1238,1860000
2021-09-01,14,3,1455,1130,1644000
2021-09-01,6,2,1542,840,1295000
2021-08-01,14,2,1412,850,1200000
2021-08-01,14,2,1471,850,1250000
2021-07-01,6,2,1496,1237,1850000
2021-07-01,6,2,1619,840,1360000
2021-05-01,6,2,1607,840,1350000
2021-05-01,14,2,1424,850,1210000
2021-05-01,12,2,1506,850,1280000
2021-04-01,6,2,1440,840,1210000
2021-04-01,14,3,1451,1130,1640000
2021-04-01,8,3,1519,1152,1750000
2021-04-01,6,4,1478,1238,1830000
2021-02-01,6,1,1490,839,1250000
2021-01-01,12,1,1385,646,895000
