date,beds,psf,area,price
2023-08-01,0,5.31,850,4400
2023-08-01,3,4.39,1150,5200
2023-08-01,2,4.84,950,4600
2023-07-01,3,4.86,1350,6800
2023-05-01,0,5.79,850,4800
2023-05-01,2,4.76,950,4300
2023-04-01,0,5.37,850,4450
2023-03-01,0,4.22,850,3500
2023-03-01,0,5.07,850,4200
2023-02-01,2,3.98,950,3600
2023-02-01,2,4.2,950,3800
2023-01-01,0,5.07,850,4200
2023-01-01,0,5.43,850,4500
2023-01-01,0,5.43,850,4500
2023-01-01,2,3.1,1050,3200
2022-12-01,3,3.38,1150,4000
2022-12-01,0,4.46,850,3700
2022-11-01,2,3.76,950,3400
2022-10-01,0,4.58,850,3800
2022-10-01,0,5.07,850,4200
2022-10-01,0,4.22,850,3500
2022-10-01,2,3.87,1050,4000
2022-08-01,0,4.34,850,3600
2022-08-01,3,3.04,1150,3600
2022-07-01,3,3.36,1350,4700
2022-07-01,3,4.36,1350,6100
2022-04-01,3,3.72,1150,4400
2022-03-01,2,3.11,850,2750
2022-03-01,2,4.3,850,3800
2022-02-01,2,3.04,950,2750
2022-01-01,0,4.22,850,3500
2021-12-01,2,2.89,850,2550
2021-12-01,0,3.02,850,2500
2021-10-01,0,3.86,850,3200
2021-10-01,0,3.26,850,2700
2021-08-01,0,3.08,850,2550
2021-08-01,0,3.26,850,2700
2021-08-01,3,3.27,1150,3900
2021-07-01,3,2.93,1350,4100
2021-06-01,3,2.72,1350,3800
2021-04-01,3,2.96,1150,3500
2021-04-01,2,3.21,950,2900
2021-03-01,2,2.94,850,2600
2021-03-01,0,3.26,850,2700
2021-03-01,0,3.38,850,2800
2021-02-01,2,2.99,950,2700
2021-01-01,2,2.93,950,2650
2021-01-01,0,3.38,850,2800
2021-01-01,2,2.81,1050,2900
2021-01-01,2,3.04,950,2750
2021-01-01,3,2.93,1350,4100
2020-12-01,0,3.08,850,2550
2020-12-01,0,2.9,850,2400
2020-12-01,3,2.7,1150,3200
2020-11-01,2,2.82,950,2550
2020-10-01,0,3.26,850,2700
2020-10-01,2,3.0,1050,3100
2020-10-01,2,3.04,950,2750
2020-08-01,0,3.38,850,2800
2020-07-01,3,2.86,1350,4000
2020-07-01,3,3.5,1350,4900
2020-07-01,2,3.04,950,2750
2020-06-01,3,2.72,1350,3800
2020-05-01,0,3.26,850,2700
2020-05-01,3,3.22,1150,3850
2020-04-01,3,3.38,1150,4000
2020-03-01,2,3.1,1050,3200
2020-02-01,3,3.21,1150,3800
2020-01-01,2,2.93,950,2650
2020-01-01,2,2.99,950,2700
2020-01-01,3,3.0,1350,4200
2020-01-01,0,3.38,850,2800
2019-12-01,2,2.94,850,2600
2019-12-01,0,3.14,850,2600
2019-10-01,0,3.41,850,2900
2019-08-01,0,3.08,850,2550
2019-08-01,0,3.29,850,2800
2019-07-01,3,2.93,1350,4100
2019-07-01,2,2.9,1050,3000
2019-07-01,2,3.3,1150,3800
2019-05-01,2,3.05,950,2900
2019-04-01,2,3.1,950,2800
2019-04-01,3,2.85,1150,3400
2019-03-01,2,2.94,850,2600
2019-03-01,3,3.21,1150,3800
2019-03-01,0,3.26,850,2700
2019-03-01,0,3.06,850,2600
2019-03-01,0,3.12,850,2650
2019-02-01,2,2.89,950,2750
2019-01-01,2,2.93,950,2650
2019-01-01,2,3.04,950,2750
2019-01-01,2,2.88,950,2600
2019-01-01,0,2.94,850,2500
2018-12-01,2,3.2,950,2900
2018-12-01,3,2.96,1350,4000
2018-12-01,0,3.06,850,2600
2018-12-01,3,3.11,1350,4200
2018-11-01,2,3.48,1150,4000
2018-10-01,3,3.0,1350,4200
2018-10-01,0,3.26,850,2700
2018-09-01,2,3.1,1050,3200
2018-08-01,3,2.68,1150,3200
2018-08-01,0,3.14,850,2600
2018-08-01,0,2.9,850,2400
2018-08-01,2,3.04,1150,3500
2018-07-01,3,3.11,1350,4200
2018-07-01,2,3.3,1150,3800
2018-06-01,3,2.72,1350,3800
2018-06-01,3,1.89,2350,4500
2018-05-01,0,3.26,850,2700
2018-05-01,2,2.99,950,2700
2018-05-01,2,2.95,950,2800
2018-05-01,2,2.86,1050,3000
2018-04-01,3,2.85,1150,3400
2018-04-01,2,3.48,1150,4000
2018-04-01,2,3.37,950,3200
2018-03-01,0,3.38,850,2800
2018-03-01,2,3.0,1050,3100
2018-03-01,0,2.94,850,2500
2018-01-01,2,2.93,950,2650
2018-01-01,2,2.83,850,2500
2018-01-01,2,2.9,1050,3000
2018-01-01,2,2.88,950,2600
2018-01-01,0,3.06,850,2600
2017-12-01,2,3.2,950,2900
2017-12-01,2,2.94,850,2600
2017-11-01,0,3.38,850,2800
2017-10-01,0,3.2,850,2650
2017-08-01,0,2.77,850,2300
2017-08-01,2,3.14,1050,3300
2017-08-01,2,2.74,950,2600
2017-07-01,3,3.0,1350,4200
2017-07-01,2,2.61,950,2480
2017-07-01,2,3.3,1150,3800
2017-06-01,2,2.94,850,2600
2017-06-01,0,3.06,850,2600
2017-03-01,3,3.0,1350,4200
2017-03-01,2,2.77,950,2500
2017-01-01,2,3.1,950,2800
2017-01-01,2,2.88,950,2600
2017-01-01,0,3.02,850,2500
2017-01-01,3,2.31,2150,5000
2017-01-01,0,3.06,850,2600
2017-01-01,2,3.16,950,3000
2016-12-01,2,3.0,850,2650
2016-12-01,3,2.86,1350,4000
2016-10-01,0,3.38,850,2800
2016-10-01,0,3.14,850,2600
2016-08-01,3,3.29,1150,3900
2016-08-01,0,2.77,850,2300
2016-08-01,3,2.68,1150,3200
2016-07-01,3,2.93,1150,3500
2016-07-01,2,2.88,950,2600
2016-06-01,2,3.23,850,2850
2016-05-01,2,3.1,950,2800
2016-04-01,0,3.86,850,3200
2016-04-01,0,3.38,850,2800
2016-04-01,2,3.65,1150,4200
2016-03-01,2,3.1,1050,3200
2016-03-01,2,3.48,1150,4000
2015-12-01,0,3.53,850,3000
2015-11-01,3,2.86,1350,4000
2015-11-01,0,3.62,850,3000
2015-11-01,2,3.51,850,3100
2015-10-01,0,3.41,850,2900
2015-09-01,2,3.21,950,2900
2015-08-01,0,3.17,850,2800
2015-08-01,2,3.19,1050,3300
2015-08-01,2,3.32,950,3000
2015-08-01,2,2.96,1150,3400
2015-08-01,2,3.26,950,3100
2015-07-01,2,3.32,950,3000
2015-06-01,3,3.1,1150,3700
2015-06-01,3,3.1,1150,3700
2015-06-01,3,2.93,1150,3500
2015-06-01,3,3.29,1350,4600
2015-06-01,0,3.41,850,2900
2015-05-01,2,3.1,1050,3200
2015-05-01,0,3.88,850,3300
2015-04-01,0,3.38,850,2800
2015-02-01,0,4.12,850,3500
2015-02-01,0,4.12,850,3500
2015-01-01,0,4.12,850,3500
2015-01-01,3,2.44,2050,5000
2015-01-01,2,3.68,950,3500
2014-12-01,2,3.96,850,3500
2014-12-01,3,3.07,1350,4300
2014-11-01,3,3.43,1350,4800
2014-10-01,0,4.0,850,3400
2014-08-01,0,3.74,850,3100
2014-08-01,3,3.55,1150,4200
2014-07-01,2,3.65,950,3300
2014-06-01,2,3.87,950,3500
2014-04-01,2,3.68,1050,3800
2014-04-01,2,3.54,950,3200
2014-04-01,2,3.74,1150,4300
2014-03-01,2,3.57,1150,4100
2014-02-01,3,3.35,1150,4000
2014-02-01,3,3.6,1150,4300
2014-02-01,3,2.79,1150,3300
2014-02-01,0,4.12,850,3500
2014-01-01,0,4.35,850,3500
2014-01-01,2,3.87,950,3500
2014-01-01,3,3.36,1350,4700
2013-12-01,0,4.22,850,3500
2013-12-01,0,3.74,850,3100
2013-12-01,0,4.24,850,3600
2013-11-01,0,4.46,850,3700
2013-11-01,0,4.24,850,3600
2013-11-01,2,4.21,950,4000
2013-09-01,3,3.65,1350,5100
2013-08-01,0,4.83,850,4000
2013-07-01,2,3.93,950,3550
2013-07-01,2,3.87,1050,4000
2013-05-01,0,4.24,850,3600
2013-03-01,3,3.63,1150,4300
2013-03-01,2,3.79,950,3600
2013-02-01,0,4.22,850,3500
2013-02-01,3,3.22,1350,4500
2013-01-01,0,4.1,850,3400
2013-01-01,2,4.2,950,3800
2013-01-01,2,4.0,950,3800
2013-01-01,2,4.0,950,3800
2012-12-01,0,4.58,850,3800
2012-12-01,2,4.21,950,4000
2012-11-01,0,4.46,850,3700
2012-09-01,2,4.53,850,4000
2012-08-01,3,3.6,1150,4300
2012-04-01,2,3.62,1050,3800
2012-04-01,2,3.62,1050,3800
2012-03-01,0,4.42,850,3900
2012-02-01,3,3.22,1350,4500
2012-02-01,0,4.16,850,3450
2012-02-01,3,3.43,1150,4100
2012-02-01,3,3.38,1150,4000
2012-02-01,0,3.88,850,3300
2012-01-01,3,3.35,1150,4000
2012-01-01,2,4.09,950,3700
