date,block,beds,psf,area,price
2023-10-01,26,3,1573,1399,2200000
2022-03-01,28,0,1431,829,1186000
2022-03-01,28,2,1393,883,1230000
2021-12-01,26,3,1394,1184,1650000
2021-09-01,26,2,1394,904,1260000
2021-06-01,28,0,1267,829,1050000
2021-05-01,28,0,1206,829,1000000
2021-04-01,26,2,1372,904,1240000
2021-03-01,26,2,1272,904,1150000
2021-01-01,28,0,1361,882,1200000
2021-01-01,28,2,1210,1033,1250000
2020-12-01,26,2,1305,904,1180000
2020-12-01,26,3,1242,1184,1470000
2020-08-01,28,2,1315,1033,1358000
2019-10-01,26,3,1199,1184,1420000
2019-10-01,28,2,1342,1034,1388000
2019-07-01,26,3,1233,1184,1460000
2018-11-01,28,2,1404,883,1240000
2018-09-01,26,3,1310,1184,1551000
2018-08-01,26,3,887,2368,2100000
2018-03-01,28,0,1367,829,1133000
2018-02-01,26,3,1258,1399,1760000
2018-02-01,28,0,1327,829,1100000
2018-02-01,26,2,1248,904,1128000
2017-05-01,26,3,1251,1399,1750000
2016-12-01,28,0,1134,882,1000000
2016-08-01,26,3,1068,1184,1265000
2016-04-01,28,0,1156,829,958000
2015-09-01,28,3,1088,1195,1300000
2015-09-01,26,3,1201,1399,1680000
2015-08-01,26,3,825,1400,1155000
2014-01-01,28,3,1268,1195,1515000
2013-12-01,28,3,1172,1195,1400000
2013-10-01,28,0,1423,829,1180000
2013-09-01,28,0,1327,829,1100000
2013-04-01,28,2,1399,883,1235000
2013-04-01,28,2,1399,883,1235000
2013-04-01,28,3,1172,1195,1400000
2013-04-01,28,3,1172,1195,1400000
2013-02-01,26,3,1237,1184,1465000
2013-02-01,26,3,1237,1184,1465000
2013-01-01,26,3,1286,1400,1800000
2013-01-01,26,3,1286,1400,1800000
2013-01-01,28,2,1289,883,1138000
2012-12-01,26,2,1372,904,1240000
2012-12-01,26,2,1372,904,1240000
2012-12-01,28,2,1306,1034,1350000
2012-12-01,28,2,1306,1034,1350000
2012-08-01,28,2,1258,1033,1300000
2012-08-01,28,2,1258,1033,1300000
2012-08-01,28,0,1242,829,1030000
2012-08-01,28,0,1242,829,1030000
2012-05-01,28,2,1302,883,1150000
2012-05-01,28,0,1304,882,1150000
2012-05-01,28,2,1171,1033,1210000
2012-05-01,28,2,1171,1033,1210000
2012-04-01,28,0,1200,882,1058000
2012-04-01,28,2,1198,883,1058000
2012-04-01,28,2,1198,883,1058000
2012-01-01,28,2,1200,1033,1240000
2012-01-01,28,2,1200,1033,1240000
2012-01-01,28,2,1200,1033,1240000
2011-12-01,26,3,1057,1400,1480000
2011-12-01,26,3,1058,1399,1480000
2011-12-01,26,3,1057,1400,1480000
2011-11-01,28,2,1162,1033,1200000
2011-11-01,28,2,1161,1034,1200000
2011-11-01,28,2,1162,1033,1200000
2011-11-01,28,2,1189,883,1050000
2011-11-01,28,2,1189,883,1050000
2011-11-01,28,0,1190,882,1050000
2011-10-01,28,0,1122,882,990000
2011-10-01,28,0,1122,882,990000
2011-10-01,28,0,1122,882,990000
2011-09-01,28,0,1190,882,1050000
2011-09-01,28,0,1190,882,1050000
2011-09-01,28,0,1190,882,1050000
2011-08-01,28,2,1140,1033,1178000
2011-08-01,28,2,1140,1033,1178000
2011-08-01,28,2,1140,1033,1178000
2011-08-01,28,0,1200,829,995000
2011-08-01,28,0,1200,829,995000
2011-08-01,28,0,1200,829,995000
2011-07-01,26,2,1132,904,1023000
2011-07-01,26,2,1130,905,1023000
2011-07-01,26,2,1132,904,1023000
2011-06-01,26,3,1123,1184,1330000
2011-06-01,26,3,1123,1184,1330000
2011-06-01,26,3,1123,1184,1330000
2011-06-01,28,0,1200,829,995000
2011-06-01,28,0,1200,829,995000
2011-06-01,28,0,1200,829,995000
2011-01-01,28,2,1066,1033,1101000
2011-01-01,28,2,1065,1034,1101000
2011-01-01,28,2,1066,1033,1101000
2011-01-01,28,3,1063,1195,1270000
